;Site;Period;Dataset;x;y
0;AR-TF1;2016-2018;AMF;-66.7335;-54.9733
1;CA-Cbo;1994-2020;AMF;-79.9333;44.3167
2;CA-DB2;2019-2020;AMF;-122.9951;49.119
3;CA-DBB;2014-2020;AMF;-122.9849;49.1293
4;CA-ER1;2015-2020;AMF;-80.4123;43.6405
5;CA-LP1;2007-2020;AMF;-122.8414;55.1119
6;PE-QFR;2018-2019;AMF;-73.319;-3.8344
7;US-ALQ;2015-2021;AMF;-89.6067;46.0308
8;US-ARM;2003-2020;AMF;-97.4888;36.6058
9;US-Bar;2004-2021;AMF;-71.2881;44.0646
10;US-Bi1;2016-2021;AMF;-121.4993;38.0992
11;US-Bi2;2017-2021;AMF;-121.5351;38.1091
12;US-BRG;2016-2020;AMF;-86.5406;39.2167
13;US-BZB;2011-2021;AMF;-148.3208;64.6955
14;US-BZF;2011-2021;AMF;-148.3121;64.7013
15;US-BZo;2018-2021;AMF;-148.33;64.6936
16;US-BZS;2010-2021;AMF;-148.3235;64.6963
17;US-CF1;2017-2020;AMF;-117.0821;46.7815
18;US-CF2;2017-2020;AMF;-117.0908;46.784
19;US-CF3;2017-2021;AMF;-117.1261;46.7551
20;US-CF4;2017-2021;AMF;-117.1285;46.7518
21;US-CS1;2018-2019;AMF;-89.5379;44.1031
22;US-CS2;2018-2021;AMF;-89.5002;44.1467
23;US-CS3;2019-2020;AMF;-89.5727;44.1394
24;US-CS4;2020-2021;AMF;-89.5475;44.1597
25;US-DFC;2018-2021;AMF;-89.7117;43.3448
26;US-DS3;2021-2021;AMF;-121.549;38.1235
27;US-EDN;2018-2019;AMF;-122.114;37.6156
28;US-EML;2008-2020;AMF;-149.2536;63.8784
29;US-GLE;2005-2020;AMF;-106.2399;41.3665
30;US-Ha1;1991-2020;AMF;-72.1715;42.5378
31;US-HB1;2019-2019;AMF;-79.1957;33.3455
32;US-HB2;2019-2019;AMF;-79.244;33.3242
33;US-HB3;2019-2021;AMF;-79.2322;33.3482
34;US-Hn2;2015-2018;AMF;-119.4641;46.6889
35;US-Hn3;2017-2018;AMF;-119.4614;46.6878
36;US-Ho2;1999-2020;AMF;-68.747;45.2091
37;US-HWB;2015-2018;AMF;-77.8488;40.8608
38;US-ICh;2007-2021;AMF;-149.2958;68.6068
39;US-ICs;2007-2020;AMF;-149.311;68.6058
40;US-ICt;2007-2021;AMF;-149.3041;68.6063
41;US-Jo1;2010-2020;AMF;-106.635;32.582
42;US-Jo2;2010-2020;AMF;-106.6032;32.5849
43;US-KFS;2007-2019;AMF;-95.1907;39.0561
44;US-KLS;2012-2019;AMF;-97.5684;38.7745
45;US-Kon;2004-2019;AMF;-96.5603;39.0824
46;US-KS3;2018-2018;AMF;-80.7427;28.7084
47;US-Me2;2002-2020;AMF;-121.5589;44.4526
48;US-Me6;2010-2021;AMF;-121.6078;44.3233
49;US-MMS;1999-2020;AMF;-86.4131;39.3232
50;US-Mo1;2015-2021;AMF;-92.1167;39.2298
51;US-Mo2;2018-2021;AMF;-91.9945;38.9488
52;US-Mo3;2016-2021;AMF;-92.1497;39.2311
53;US-MOz;2004-2019;AMF;-92.2;38.7441
54;US-Mpj;2008-2020;AMF;-106.2377;34.4385
55;US-Myb;2010-2021;AMF;-121.765;38.0499
56;US-NC3;2013-2021;AMF;-76.656;35.799
57;US-NC4;2009-2021;AMF;-75.9038;35.7879
58;US-Ne1;2001-2020;AMF;-96.4766;41.1651
59;US-NGB;2012-2019;AMF;-156.6092;71.28
60;US-NGC;2017-2019;AMF;-163.7002;64.8618
61;US-ONA;2015-2020;AMF;-81.9509;27.3836
62;US-Pnp;2016-2021;AMF;-89.4158;43.0896
63;US-RGA;2021-2021;AMF;-91.6733;34.4159
64;US-RGB;2021-2021;AMF;-121.8579;39.5782
65;US-RGo;2021-2021;AMF;-122.0026;39.6805
66;US-Rls;2014-2021;AMF;-116.7356;43.1439
67;US-Rms;2014-2020;AMF;-116.7486;43.0645
68;US-Ro4;2014-2021;AMF;-93.0723;44.6781
69;US-Ro5;2017-2020;AMF;-93.0576;44.691
70;US-Ro6;2017-2021;AMF;-93.0578;44.6946
71;US-Rpf;2008-2021;AMF;-147.429;65.1198
72;US-Rwf;2014-2020;AMF;-116.7231;43.1207
73;US-Rws;2014-2020;AMF;-116.7132;43.1675
74;US-Seg;2007-2021;AMF;-106.702;34.3623
75;US-Ses;2007-2021;AMF;-106.7442;34.3349
76;US-Sne;2016-2020;AMF;-121.7547;38.0369
77;US-Snf;2018-2020;AMF;-121.7272;38.0402
78;US-SRG;2008-2021;AMF;-110.8277;31.7894
79;US-SRS;2011-2018;AMF;-110.8508;31.8173
80;US-Syv;2001-2021;AMF;-89.3477;46.242
81;US-Ton;2001-2021;AMF;-120.966;38.4309
82;US-Tw1;2011-2020;AMF;-121.6469;38.1074
83;US-Tw3;2013-2018;AMF;-121.6469;38.1152
84;US-Tw4;2013-2021;AMF;-121.6413;38.1027
85;US-Tw5;2018-2019;AMF;-121.6426;38.1072
86;US-UMB;2007-2021;AMF;-84.7138;45.5598
87;US-UMd;2007-2021;AMF;-84.6975;45.5625
88;US-Var;2000-2021;AMF;-120.9508;38.4133
89;US-Vcm;2007-2021;AMF;-106.5321;35.8884
90;US-Vcp;2007-2021;AMF;-106.5967;35.8642
91;US-Whs;2007-2020;AMF;-110.0522;31.7438
92;US-Wi0;2002-2002;AMF;-91.0814;46.6188
93;US-Wjs;2007-2021;AMF;-105.8615;34.4255
94;US-Wkg;2004-2021;AMF;-109.9419;31.7365
95;US-xAB;2019-2021;AMF;-122.3303;45.7624
96;US-xAE;2017-2021;AMF;-99.0588;35.4106
97;US-xBA;2019-2021;AMF;-156.6194;71.2824
98;US-xBL;2019-2021;AMF;-78.0716;39.0603
99;US-xBN;2019-2021;AMF;-147.5026;65.154
100;US-xBR;2017-2021;AMF;-71.2873;44.0639
101;US-xCL;2017-2021;AMF;-97.57;33.4012
102;US-xCP;2016-2021;AMF;-104.7456;40.8155
103;US-xDC;2017-2021;AMF;-99.1066;47.1617
104;US-xDJ;2019-2021;AMF;-145.7514;63.8811
105;US-xDL;2017-2021;AMF;-87.8039;32.5417
106;US-xDS;2017-2021;AMF;-81.4362;28.125
107;US-xGR;2017-2021;AMF;-83.5019;35.689
108;US-xHA;2017-2021;AMF;-72.1727;42.5369
109;US-xHE;2017-2021;AMF;-149.2133;63.8757
110;US-xJE;2017-2021;AMF;-84.4686;31.1948
111;US-xJR;2019-2021;AMF;-106.8425;32.5907
112;US-xKA;2017-2021;AMF;-96.6129;39.1104
113;US-xKZ;2017-2021;AMF;-96.5631;39.1008
114;US-xMB;2017-2021;AMF;-109.3883;38.2483
115;US-xML;2017-2021;AMF;-80.5248;37.3783
116;US-xNG;2017-2021;AMF;-100.9154;46.7697
117;US-xNQ;2017-2021;AMF;-112.4524;40.1776
118;US-xRM;2017-2021;AMF;-105.5459;40.2759
119;US-xSB;2017-2021;AMF;-81.9934;29.6893
120;US-xSC;2019-2021;AMF;-78.1395;38.8929
121;US-xSE;2017-2021;AMF;-76.56;38.8901
122;US-xSJ;2019-2021;AMF;-119.7323;37.1088
123;US-xSL;2019-2021;AMF;-103.0293;40.4619
124;US-xSR;2017-2021;AMF;-110.8355;31.9107
125;US-xST;2017-2021;AMF;-89.5864;45.5089
126;US-xTA;2017-2021;AMF;-87.3933;32.9505
