,mean,median,std
AR-TF1,501.3345313043479,497.78253500000005,29.98223331380819
CA-Cbo,858.1524013043481,852.077935,41.0226281407502
CA-DB2,706.9765732608696,703.4797,30.447468369716617
CA-DBB,706.9765732608696,703.4797,30.447468369716617
CA-ER1,835.8470734782609,829.66523,43.21772567280844
CA-LP1,604.2147378260869,606.29755,31.88291467166812
PE-QFR,1245.56925,1238.3865500000002,31.058046796916326
US-ALQ,778.6299041304349,773.37976,44.31657747661887
US-ARM,1448.549756521739,1440.1471000000001,103.03152794009252
US-Bar,724.0955391304349,724.0411349999999,29.41156826773724
US-Bi1,1376.910343478261,1376.4562,76.46048895559255
US-Bi2,1447.0836282608695,1446.395,87.15533706149844
US-BRG,1018.2772086956521,1001.67935,59.47782518930896
US-BZB,555.9019591304348,556.98222,26.607461824301325
US-BZF,520.9972473913043,521.811485,24.72697706002481
US-BZo,555.9019591304348,556.98222,26.607461824301325
US-BZS,555.9019591304348,556.98222,26.607461824301325
US-CF1,1015.852695217391,1009.4359,57.48444225174354
US-CF2,1015.852695217391,1009.4359,57.48444225174354
US-CF3,1039.1328354347825,1034.8402,58.89838912502505
US-CF4,1039.1328354347825,1034.8402,58.89838912502505
US-CS1,907.0083869565215,904.11618,55.3574070877839
US-CS2,907.0083869565215,904.11618,55.3574070877839
US-CS3,907.0083869565215,904.11618,55.3574070877839
US-CS4,907.0083869565215,904.11618,55.3574070877839
US-DFC,916.7663973913044,911.9128499999999,50.733343521658085
US-DS3,1447.0836282608695,1446.395,87.15533706149844
US-EDN,963.552917826087,966.53205,31.65395293268931
US-EML,435.5918678260869,436.47704999999996,21.995417060178685
US-GLE,848.9346397826085,850.67128,47.68330043327195
US-Ha1,877.4031884782611,871.536335,44.63328544328927
US-HB1,1228.3102608695654,1221.9062,47.83387127775313
US-HB2,1221.8259891304351,1213.7465499999998,47.33228343679855
US-HB3,1221.8259891304351,1213.7465499999998,47.33228343679855
US-Hn2,1258.7829847826088,1256.20575,52.06419435239951
US-Hn3,1258.7829847826088,1256.20575,52.06419435239951
US-Ho2,799.4255565217392,794.815785,35.36037933071346
US-HWB,875.8576860869567,882.55484,60.17071080247889
US-ICh,,,
US-ICs,,,
US-ICt,,,
US-Jo1,1780.0552826086957,1794.4773500000001,99.84208126454116
US-Jo2,1780.0552826086957,1794.4773500000001,99.84208126454116
US-KFS,1161.1938478260868,1152.62975,68.99105277666963
US-KLS,1385.9996804347827,1368.9947,97.70137876710876
US-Kon,1305.42145,1295.8769499999999,104.67573158148879
US-KS3,1320.1830152173911,1316.5618,38.745877650907545
US-Me2,928.8420497826089,921.68805,45.97595522595723
US-Me6,927.5886315217391,928.95668,49.03541630573372
US-MMS,1000.2165560869565,984.712,57.886003919371575
US-Mo1,1139.8731782608697,1127.84555,59.90243880180103
US-Mo2,1127.7005339130433,1113.69825,59.00802659627111
US-Mo3,1139.8731782608697,1127.84555,59.90243880180103
US-MOz,1109.1648382608696,1102.44965,59.84907564825492
US-Mpj,1519.490891304348,1533.0011,92.15491210917945
US-Myb,1432.6795826086957,1436.39555,74.42475359727003
US-NC3,1161.556406521739,1156.88425,46.402935648691695
US-NC4,1123.4290956521738,1123.37615,37.61935502991899
US-Ne1,1155.133281521739,1154.70725,89.33514661354072
US-NGB,,,
US-NGC,371.5798804347825,367.101275,29.328122880053613
US-ONA,1420.8277608695655,1419.27985,54.311284851208434
US-Pnp,929.74642,922.17985,51.19817371976603
US-RGA,1244.8256804347827,1228.9747,62.23262946354185
US-RGB,1530.642643478261,1536.90445,82.82136114405283
US-RGo,1547.4822782608696,1551.9652999999998,101.51260901681333
US-Rls,1080.8000236956523,1090.2617500000001,54.60660185573338
US-Rms,985.9451219565218,994.9142999999999,51.063966136111624
US-Ro4,921.8072095652174,915.8891,60.61331710067971
US-Ro5,921.8072095652174,915.8891,60.61331710067971
US-Ro6,921.8072095652174,915.8891,60.61331710067971
US-Rpf,469.82522586956514,467.453035,24.61368272187029
US-Rwf,1080.8000236956523,1090.2617500000001,54.60660185573338
US-Rws,1080.8000236956523,1090.2617500000001,54.60660185573338
US-Seg,1681.7629195652166,1688.6836,79.31098932572156
US-Ses,1681.7629195652166,1688.6836,79.31098932572156
US-Sne,1432.6795826086957,1436.39555,74.42475359727003
US-Snf,1432.6795826086957,1436.39555,74.42475359727003
US-SRG,1711.382004347826,1714.4583499999999,68.43787455745364
US-SRS,1873.781667391304,1878.6881,74.56119071278617
US-Syv,800.6361806521737,795.07755,47.945457290311666
US-Ton,1267.7643173913043,1271.10905,52.00569782683134
US-Tw1,1467.8896543478259,1468.0529000000001,87.8958859964136
US-Tw3,1467.8896543478259,1468.0529000000001,87.8958859964136
US-Tw4,1467.8896543478259,1468.0529000000001,87.8958859964136
US-Tw5,1467.8896543478259,1468.0529000000001,87.8958859964136
US-UMB,834.7872454347828,833.0033249999999,50.00230691673432
US-UMd,828.5338926086955,824.9129,46.986478043608685
US-Var,1267.7643173913043,1271.10905,52.00569782683134
US-Vcm,1060.8566932608694,1066.68395,63.89469898384606
