,AR-TF1,CA-Cbo,CA-DB2,CA-DBB,CA-ER1,CA-LP1,PE-QFR,US-ALQ,US-ARM,US-Bar,US-Bi1,US-Bi2,US-BRG,US-BZB,US-BZF,US-BZo,US-BZS,US-CF1,US-CF2,US-CF3,US-CF4,US-CS1,US-CS2,US-CS3,US-CS4,US-DFC,US-DS3,US-EDN,US-EML,US-GLE,US-Ha1,US-HB1,US-HB2,US-HB3,US-Hn2,US-Hn3,US-Ho2,US-HWB,US-ICh,US-ICs,US-ICt,US-Jo1,US-Jo2,US-KFS,US-KLS,US-Kon,US-KS3,US-Me2,US-Me6,US-MMS,US-Mo1,US-Mo2,US-Mo3,US-MOz,US-Mpj,US-Myb,US-NC3,US-NC4,US-Ne1,US-NGB,US-NGC,US-ONA,US-Pnp,US-RGA,US-RGB,US-RGo,US-Rls,US-Rms,US-Ro4,US-Ro5,US-Ro6,US-Rpf,US-Rwf,US-Rws,US-Seg,US-Ses,US-Sne,US-Snf,US-SRG,US-SRS,US-Syv,US-Ton,US-Tw1,US-Tw3,US-Tw4,US-Tw5,US-UMB,US-UMd,US-Var,US-Vcm,US-Vcp,US-Whs,US-Wi0,US-Wjs,US-Wkg,US-xAB,US-xAE,US-xBA,US-xBL,US-xBN,US-xBR,US-xCL,US-xCP,US-xDC,US-xDJ,US-xDL,US-xDS,US-xGR,US-xHA,US-xHE,US-xJE,US-xJR,US-xKA,US-xKZ,US-xMB,US-xML,US-xNG,US-xNQ,US-xRM,US-xSB,US-xSC,US-xSE,US-xSJ,US-xSL,US-xSR,US-xST,US-xTA,US-xTR,US-xUK,US-xUN,US-xWD,US-xYE,AU-Adr,AU-ASM,AU-Boy,AU-Cpr,AU-Cum,AU-DaS,AU-Dry,AU-GWW,AU-Lit,AU-Lon,AU-Rgf,AU-Stp,AU-War,AU-Whr,AU-Wom,BE-Bra,BE-Lon,BE-Vie,CH-Aws,CH-Cha,CH-Dav,CH-Fru,CH-Lae,CH-Oe2,CZ-BK1,CZ-Lnz,CZ-RAJ,CZ-Stn,CZ-wet,DE-Akm,DE-Geb,DE-Gri,DE-Hai,DE-HoH,DE-Hte,DE-Hzd,DE-Kli,DE-Obe,DE-RuR,DE-RuS,DE-RuW,DE-Tha,DK-Sor,ES-Abr,ES-LM1,ES-LM2,FI-Hyy,FI-Let,FI-Sii,FI-Var,FR-Bil,FR-EM2,FR-Hes,IT-BCi,IT-Cp2,IT-Lsn,IT-SR2,IT-Tor,NL-Loo,RU-Fy2,RU-Fyo,SE-Deg,SE-Htm,SE-Lnn,SE-Nor,SE-Ros,SE-Svb,BE-Bra,BE-Dor,BE-Lcr,BE-Lon,BE-Maa,BE-Vie,CH-Aws,CH-Cha,CH-Dav,CH-Fru,CH-Lae,CH-Oe2,CZ-BK1,CZ-KrP,CZ-Lnz,CZ-RAJ,CZ-Stn,CZ-wet,DE-Akm,DE-Geb,DE-Gri,DE-Hai,DE-HoH,DE-Hzd,DE-Kli,DE-Obe,DE-RuR,DE-RuS,DE-RuW,DE-Tha,DK-Gds,DK-Sor,ES-Abr,ES-Agu,ES-Cnd,ES-LJu,ES-LM1,ES-LM2,FI-Hyy,FI-Ken,FI-Let,FI-Qvd,FI-Sii,FI-Var,FR-Aur,FR-Bil,FR-FBn,FR-Fon,FR-Gri,FR-Hes,FR-Lam,FR-LGt,FR-Tou,GF-Guy,GL-Dsk,IE-Cra,IL-Yat,IT-BCi,IT-BFt,IT-Cp2,IT-Lav,IT-Lsn,IT-MBo,IT-Ren,IT-SR2,IT-Tor,RU-Fy2,RU-Fyo,SE-Deg,SE-Htm,SE-Nor,SE-Ros,SE-Svb
1979,873.24,906.08997,2152.55,2152.55,1002.75,735.1,2584.26,945.46,716.86,1420.94,512.49,596.13,1316.14,364.41,364.41,364.41,364.41,593.14,593.14,571.04,571.04,1044.62,1044.62,1044.62,1044.62,931.82,596.13,572.96,620.73,695.33,1292.0701,1306.36,1306.36,1306.36,236.78,236.78,1368.16,1274.05,501.75,501.75,501.75,387.8,387.8,881.98,838.79,946.09,1013.98,728.32,1173.6,1316.14,715.01,760.45,715.01,847.21,473.43,541.38,1136.3,1125.2,876.45,252.99,878.65,1079.2001,923.97003,1344.25,922.05,672.33,382.95,418.41,831.32,831.32,831.32,445.92,382.95,382.95,234.83,234.83,541.38,541.38,321.38,321.38,968.27997,940.93,607.98,607.98,607.98,607.98,1147.77,1025.99,940.93,782.14,782.14,241.84,972.17,386.71,241.84,2048.93,668.39996,252.99,1305.29,442.34,1420.94,1106.16,662.82,576.68,593.29,1432.66,1051.5,1417.72,1292.0701,620.73,1137.99,301.59,853.52,946.09,371.71,1222.31,505.18,344.69,1133.56,1190.18,1333.6,1342.91,591.8,632.88,296.92,895.27,1430.5701,895.27,881.98,990.43,576.68,617.08,1230.0701,394.53,318.53,373.15,692.31,998.64,876.92,234.58,1326.04,1326.04,323.12,530.57,1465.06,587.68,663.64,886.58,931.01,1173.87,1640.73,1530.88,1843.55,1530.88,1210.19,1495.54,1018.68,744.25,858.75,841.19,840.93,681.97003,645.52,932.98,736.9,652.5,789.21,932.98,932.98,876.4,1070.55,868.5,1070.55,932.98,739.98,545.22003,1192.37,1192.37,811.65,797.08997,811.65,625.35,1049.55,845.52997,1276.91,1462.38,1436.59,1474.81,1900.12,1527.39,915.82,770.75,770.75,789.98,743.54,927.47003,731.55,827.70996,753.85,886.58,927.69,874.83,931.01,942.72003,1173.87,1640.73,1530.88,1843.55,1530.88,1210.19,1495.54,1018.68,965.44,744.25,858.75,841.19,840.93,681.97003,645.52,932.98,736.9,652.5,932.98,932.98,876.4,1070.55,868.5,1070.55,932.98,904.25,739.98,545.22003,283.82,731.55,597.3,1192.37,1192.37,811.65,693.08,797.08997,706.27,811.65,625.35,989.13,1049.55,937.35,894.82,851.45,1276.91,1010.13,989.13,977.27997,2497.19,636.4,1036.44,196.32,1462.38,1113.63,1436.59,1363.7,1474.81,1744.71,1242.04,1900.12,1527.39,770.75,770.75,789.98,743.54,731.55,827.70996,753.85
1980,993.5,1021.31,2443.34,2443.34,1070.12,1002.26,2533.43,1019.64,787.5,1083.39,432.05002,524.4,1202.84,358.78,358.78,358.78,358.78,702.31,702.31,693.49,693.49,850.11,850.11,850.11,850.11,893.52,524.4,426.07,569.36,772.59,862.46,1327.83,1327.83,1327.83,316.98,316.98,1099.11,894.38,537.0,537.0,537.0,382.2,382.2,886.08,762.77997,945.01,822.72003,810.61,1297.1,1202.84,896.38,866.13,896.38,803.5,456.84,435.9,1100.4,1106.3,705.82,218.33,560.39,902.73,931.25,1120.83,727.43,427.78,431.56,500.97,986.95,986.95,986.95,467.89,431.56,431.56,218.4,218.4,435.9,435.9,314.79,314.79,1008.25,762.89,499.23,499.23,499.23,499.23,901.28,833.45,762.89,814.75,814.75,221.44,935.65,379.06,221.44,2287.77,641.7,218.33,804.97,466.63,1083.39,828.5,625.75,560.37,619.72003,1304.62,801.03,1234.72,862.46,569.36,1201.46,295.26,852.7,945.01,432.34,914.35,476.36,597.32,923.64996,1032.16,787.51,944.45,610.25,534.66,318.76,970.5,1367.67,970.5,886.08,1075.77,560.37,888.27,1563.71,205.22,333.45,241.56,597.62,975.0,831.06,310.08,1627.11,1627.11,368.83,461.08002,1643.88,576.93,630.71,852.16003,917.37,1275.23,1339.96,1522.03,1806.7,1522.03,1193.78,1455.42,1067.51,615.57,727.62,854.49,778.74,753.96,670.18,955.98,743.49,681.94,915.51996,955.98,955.98,895.58,1089.22,812.01,1089.22,955.98,863.83,336.21,515.7,515.7,653.31,726.01,653.31,516.84,873.36,882.37,1183.59,1535.27,1087.1799,1343.2001,1554.21,1249.3099,864.65,915.63,915.63,592.92,887.98,887.18,685.35,603.79,576.88,852.16003,955.64,837.84,917.37,906.9,1275.23,1339.96,1522.03,1806.7,1522.03,1193.78,1455.42,1067.51,879.08997,615.57,727.62,854.49,778.74,753.96,670.18,955.98,743.49,681.94,955.98,955.98,895.58,1089.22,812.01,1089.22,955.98,980.02,863.83,336.21,340.12,474.36,579.61,515.7,515.7,653.31,491.57,726.01,683.89,653.31,516.84,967.81,873.36,625.23,757.67,822.56,1183.59,846.1,967.81,985.5,2416.24,465.66998,1063.8,196.55,1535.27,964.39,1087.1799,1045.1,1343.2001,1375.35,989.52997,1554.21,1249.3099,915.63,915.63,592.92,887.98,685.35,603.79,576.88
1981,900.07,891.92,2682.66,2682.66,999.84,815.85,2783.75,830.81,999.97,1491.5701,489.15,604.27,1302.16,480.0,480.0,480.0,480.0,668.81,668.81,640.79,640.79,908.43,908.43,908.43,908.43,734.86,604.27,501.33002,696.95,850.12,1099.4299,1167.35,1167.35,1167.35,247.48,247.48,1316.07,1017.88,491.53,491.53,491.53,472.93,472.93,1196.47,907.23,941.61,675.19,777.88,1288.08,1302.16,1335.2,1357.3,1335.2,1429.62,526.74,500.19,1205.9,1178.35,838.63,249.59,575.6,727.66,752.22,994.52,1072.45,718.25,436.72998,484.31,1013.09,1013.09,1013.09,565.82,436.72998,436.72998,206.44,206.44,500.19,500.19,449.32,449.32,917.4,971.07,588.24,588.24,588.24,588.24,837.56,758.87,971.07,941.53,941.53,281.99,961.04,368.34,281.99,2509.06,810.77997,249.59,859.53,566.28,1491.5701,1045.97,545.97,574.58,771.06,1001.48,643.99,1202.52,1099.4299,696.95,899.86,313.68,862.61,941.61,420.36,892.29,470.89,546.7,1119.71,867.39,890.97,901.93,710.88,637.77,369.71,856.73,1058.9,856.73,1196.47,937.59,574.58,787.6,1397.88,398.44,426.75,263.1,969.68,946.67,940.77997,251.06,1531.22,1531.22,417.31,725.71,1418.85,685.5,627.52,960.83,1108.8099,1456.04,1642.16,1830.44,2039.4299,1830.44,1404.98,1664.8,1256.95,688.64,894.13,1124.65,884.48,793.94,863.05,1225.11,1000.9,797.61,960.94,1225.11,1225.11,1126.77,1323.34,1013.85,1323.34,1225.11,825.63,351.71,755.64,755.64,932.24005,871.89,932.24005,747.8,988.99,978.59,1437.81,1311.08,878.6,1317.87,1473.1,1854.24,931.47,922.28,922.28,700.76,869.57,865.59,731.81,738.94,732.54,960.83,1132.83,971.87,1108.8099,1130.0,1456.04,1642.16,1830.44,2039.4299,1830.44,1404.98,1664.8,1256.95,997.04004,688.64,894.13,1124.65,884.48,793.94,863.05,1225.11,1000.9,797.61,1225.11,1225.11,1126.77,1323.34,1013.85,1323.34,1225.11,909.88,825.63,351.71,230.95,505.7,437.0,755.64,755.64,932.24005,717.38,871.89,833.2,932.24005,747.8,1037.13,988.99,685.41,997.08,965.25,1437.81,1067.0,1037.13,1004.56,2864.47,531.91,994.52,113.78,1311.08,953.31995,878.6,1213.63,1317.87,1601.09,1136.9401,1473.1,1854.24,922.28,922.28,700.76,869.57,731.81,738.94,732.54
1982,842.6,991.89,2299.03,2299.03,1107.99,970.23,2849.57,1131.71,998.92,1201.6,771.42,915.27,1343.7,500.14,500.14,500.14,500.14,752.59,752.59,742.74,742.74,1133.03,1133.03,1133.03,1133.03,991.22,915.27,768.17,673.54004,965.35004,984.62,1403.72,1403.72,1403.72,332.81,332.81,1043.74,1030.69,454.74,454.74,454.74,420.06,420.06,1177.0701,971.42,1189.34,1202.91,787.82,1349.95,1343.7,1226.3201,1257.52,1226.3201,1270.61,622.05,776.62,1293.19,1269.04,1089.83,229.49,775.71,1291.02,1003.44,1422.29,1165.61,770.6,433.48,498.76,1115.85,1115.85,1115.85,532.22,433.48,433.48,305.99,305.99,776.62,776.62,527.92,527.92,1158.86,1445.34,877.93,877.93,877.93,877.93,1036.77,925.86,1445.34,1033.3,1033.3,339.68,1104.84,482.94,339.68,2656.41,852.17,229.49,1048.05,552.89,1201.6,1013.32,588.36,608.61,694.6,1434.97,1235.34,1382.44,984.62,673.54004,1162.44,305.34,1097.62,1189.34,443.48,1085.38,676.83,684.87,1132.52,1433.09,1059.26,1167.14,1050.14,539.82,495.59,1136.72,1529.53,1136.72,1177.0701,1187.76,608.61,1003.8,1321.0,388.92,337.41998,123.93,673.07,885.74,693.76,261.05,1462.44,1462.44,363.91,575.69,1374.96,284.74,410.77,748.82,871.82996,1187.23,1466.42,1454.58,1653.44,1454.58,1325.78,1667.03,962.23,490.81,622.72,774.42,618.96,540.77,470.63,667.62,589.75,501.26,645.68,667.62,667.62,624.24,1059.75,747.62,1059.75,667.62,649.81,315.16,629.98,629.98,693.06,694.36,693.06,640.76,907.67,820.7,1206.2,958.34,839.96,1253.33,1464.9601,1517.85,762.09,747.24,747.24,632.94,722.64,784.22,607.58,656.6,623.7,748.82,902.15,763.04,871.82996,877.0,1187.23,1466.42,1454.58,1653.44,1454.58,1325.78,1667.03,962.23,700.44,490.81,622.72,774.42,618.96,540.77,470.63,667.62,589.75,501.26,667.62,667.62,624.24,1059.75,747.62,1059.75,667.62,839.26,649.81,315.16,282.83,515.01,533.74,629.98,629.98,693.06,686.38,694.36,603.11,693.06,640.76,863.55,907.67,611.37,791.4,763.93,1206.2,969.7,863.55,924.72,2426.92,362.31,1022.01,165.07,958.34,987.17,839.96,1006.83,1253.33,1411.26,996.66,1464.9601,1517.85,747.24,747.24,632.94,722.64,607.58,656.6,623.7
1983,819.52997,927.29,2613.4,2613.4,997.69,879.05,2602.38,1054.4,1177.0,1571.57,927.24,1101.79,1225.11,361.8,361.8,361.8,361.8,713.35,713.35,734.35,734.35,1032.31,1032.31,1032.31,1032.31,928.16,1101.79,987.85,576.98,1104.4299,1341.42,1601.32,1601.32,1601.32,382.5,382.5,1494.1799,1118.85,394.77,394.77,394.77,358.55,358.55,1163.62,979.14,1167.56,1378.49,882.86,1434.27,1225.11,1117.98,1212.07,1117.98,1248.5,589.1,959.97003,1372.01,1374.58,982.75,193.3,533.99,1499.01,903.85,1153.19,1744.27,1335.88,574.36,683.56,1071.39,1071.39,1071.39,457.35,574.36,574.36,283.28,283.28,959.97003,959.97003,538.84,538.84,1208.66,1681.32,1108.89,1108.89,1108.89,1108.89,1039.56,941.04004,1681.32,1084.2,1084.2,350.14,1072.88,412.56,350.14,2869.79,895.35,193.3,1206.0,464.94998,1571.57,995.24,740.6,555.7,641.45,1513.1799,1468.0499,1231.51,1341.42,576.98,1351.14,250.0,1094.8,1167.56,552.32,1009.05,475.65,768.39,1196.63,1449.77,1176.1,1359.6901,1202.16,667.72003,513.2,1101.0599,1556.59,1101.0599,1163.62,1262.45,555.7,882.53,1430.22,335.37,459.07,427.28,870.19,868.23,602.97003,268.93,1499.1901,1499.1901,490.6,487.74,1390.83,695.91,773.82,790.33,811.12,1165.48,1460.66,1443.64,1799.15,1443.64,1105.3201,1386.64,957.99,525.0,547.21,760.52,671.14,686.14,605.64,909.79,696.82,608.99,816.85,909.79,909.79,820.89,1059.45,781.69,1059.45,909.79,658.27,459.25,734.77997,734.77997,760.33997,726.41,760.33997,686.42,956.15,699.27,1254.96,956.73,771.52,895.38,1140.53,1517.11,847.09,850.25,850.25,599.16,736.91003,801.04,664.13,612.18,598.06,790.33,830.69,743.04,811.12,863.91,1165.48,1460.66,1443.64,1799.15,1443.64,1105.3201,1386.64,957.99,747.95996,525.0,547.21,760.52,671.14,686.14,605.64,909.79,696.82,608.99,909.79,909.79,820.89,1059.45,781.69,1059.45,909.79,849.38,658.27,459.25,210.98,434.72998,423.55,734.77997,734.77997,760.33997,671.58,726.41,752.37,760.33997,686.42,743.85004,956.15,697.14996,742.93,698.63,1254.96,911.65,743.85004,735.83,2286.92,449.14,962.18,168.31,956.73,706.29,771.52,922.2,895.38,1282.51,930.29004,1140.53,1517.11,850.25,850.25,599.16,736.91003,664.13,612.18,598.06
1984,872.58,891.3,2667.6401,2667.6401,924.14,973.64,3065.0,856.58,944.88,1400.84,381.09,468.09,1177.76,531.04004,531.04004,531.04004,531.04004,770.28,770.28,734.05,734.05,943.34,943.34,943.34,943.34,1002.94,468.09,378.68,669.43,918.86,1197.7,1143.03,1143.03,1143.03,298.26,298.26,1240.66,1196.04,438.1,438.1,438.1,601.46,601.46,1066.53,903.98,984.32,1000.74,738.74,1375.98,1177.76,1316.07,1290.03,1316.07,1334.99,698.16003,386.15,1286.9299,1267.1901,1021.25,232.81999,392.5,1041.25,1017.35,1587.6,717.39,504.41,506.03,563.06,912.22,912.22,912.22,560.87,506.03,506.03,359.18,359.18,386.15,386.15,571.49,571.49,914.23004,661.66,438.43,438.43,438.43,438.43,1124.8099,1019.76,661.66,1049.42,1049.42,347.45,884.57,591.7,347.45,2658.86,742.18,232.81999,1148.1901,562.26,1400.84,1020.31,683.48,576.48,643.83,1057.93,862.61,1187.78,1197.7,669.43,1053.53,523.37,943.94,984.32,525.96,1010.48,525.17,569.6,1135.26,1046.34,1205.7,1262.73,419.0,559.5,490.41,904.99,1079.01,904.99,1066.53,929.17,576.48,796.46,1677.62,545.66,381.93,304.92,1207.48,1289.46,1142.5,347.08,1768.46,1768.46,396.09,772.35,1602.47,580.54,651.2,965.03,948.10004,1295.66,1348.7,1445.05,1555.58,1445.05,1142.99,1312.34,1055.92,676.22003,864.93,947.82,712.85,645.97,734.62,811.74,848.92004,692.08,755.78,811.74,811.74,755.77,1194.73,954.32,1194.73,811.74,686.35,425.05,837.03,837.03,802.86,861.46,802.86,660.71,1061.12,892.43,1194.01,1369.09,1176.58,1419.62,1760.45,1488.87,962.91003,827.0,827.0,731.67,723.79,867.69,767.08,762.85,692.37,965.03,979.85,926.18,948.10004,1025.99,1295.66,1348.7,1445.05,1555.58,1445.05,1142.99,1312.34,1055.92,807.95996,676.22003,864.93,947.82,712.85,645.97,734.62,811.74,848.92004,692.08,811.74,811.74,755.77,1194.73,954.32,1194.73,811.74,785.66003,686.35,425.05,288.89,660.03,489.29,837.03,837.03,802.86,659.26,861.46,826.22003,802.86,660.71,915.05,1061.12,809.12,862.83,860.1,1194.01,940.12,915.05,912.41003,2766.95,466.92,949.89996,120.21,1369.09,1054.98,1176.58,997.56,1419.62,1320.21,892.41,1760.45,1488.87,827.0,827.0,731.67,723.79,767.08,762.85,692.37
1985,757.69,1080.61,1477.52,1477.52,1131.32,811.43,2710.12,1154.64,1071.91,1095.9299,347.54,394.68,1232.25,455.74,455.74,455.74,455.74,479.18,479.18,468.08002,468.08002,1122.54,1122.54,1122.54,1122.54,1027.82,394.68,350.9,644.6,797.3,992.5,1496.29,1496.29,1496.29,192.06,192.06,931.91003,920.85,457.83,457.83,457.83,522.61,522.61,1265.23,968.62,1058.4299,881.63,504.37,861.66,1232.25,1136.82,1207.5,1136.82,1321.5,633.07,346.8,1177.73,1201.38,1069.06,269.95,780.45,1056.57,1047.08,985.23,493.18002,332.42,344.0,390.82,1083.93,1083.93,1083.93,588.95,344.0,344.0,317.34,317.34,346.8,346.8,446.68,446.68,1156.1,608.02,381.77002,381.77002,381.77002,381.77002,1134.86,1058.8,608.02,1120.05,1120.05,378.03,1111.16,506.26,378.03,1822.81,960.6,269.95,966.27,591.46,1095.9299,1023.43,601.85,628.55,826.4,1087.86,910.83,1272.3,992.5,644.6,1145.99,380.14,1007.2,1058.4299,486.15,1172.87,488.66998,507.32,1036.79,1123.59,995.34,1048.02,491.74,584.81,375.84,1139.28,1211.6799,1139.28,1265.23,1194.1,628.55,728.8,1257.99,183.89,341.44998,293.46,924.79,879.18,733.48,216.59999,1286.87,1286.87,357.09,495.25998,1239.24,586.6,712.73,851.61,848.76,1050.48,1425.52,1338.12,1613.07,1338.12,1048.36,1302.62,1221.5,686.47,826.46,965.69,744.51,698.33,593.04,901.67,669.14,629.54,821.27997,901.67,901.67,840.89,970.59,793.38,970.59,901.67,721.99,484.5,965.58,965.58,679.07,713.2,679.07,576.45,844.65,756.05005,964.71,1182.09,856.06,1134.17,1177.4199,1191.76,937.11,850.46,850.46,722.7,796.69,940.02,682.87,756.95996,721.25,851.61,866.96,793.37,848.76,860.06,1050.48,1425.52,1338.12,1613.07,1338.12,1048.36,1302.62,1221.5,827.95,686.47,826.46,965.69,744.51,698.33,593.04,901.67,669.14,629.54,901.67,901.67,840.89,970.59,793.38,970.59,901.67,852.05,721.99,484.5,281.87,582.93,477.16,965.58,965.58,679.07,677.93,713.2,669.9,679.07,576.45,745.23,844.65,605.37,602.71,636.63,964.71,724.41003,745.23,767.74,2241.08,511.88,1029.1901,151.9,1182.09,849.62,856.06,1063.98,1134.17,1484.37,1059.42,1177.4199,1191.76,850.46,850.46,722.7,796.69,682.87,756.95996,721.25
1986,837.81,1018.44,2317.47,2317.47,1062.8,941.55,3278.94,929.15,952.82,1322.75,474.99,636.62,1230.92,446.91998,446.91998,446.91998,446.91998,603.04,603.04,575.24,575.24,926.88,926.88,926.88,926.88,961.16,636.62,542.27997,611.9,916.28,1218.83,1247.58,1247.58,1247.58,229.93001,229.93001,1157.65,1105.86,448.09,448.09,448.09,663.64,663.64,1420.87,1077.79,1218.39,935.95996,742.81,1239.34,1230.92,1276.26,1237.08,1276.26,1254.46,743.01,504.31,1111.09,1102.05,1180.49,231.89,606.36,1212.54,979.3,945.7,1009.5,641.02997,409.39,467.37,1045.79,1045.79,1045.79,537.28,409.39,409.39,385.6,385.6,504.31,504.31,513.13,513.13,977.87,1027.78,625.8,625.8,625.8,625.8,916.36,822.95996,1027.78,1181.62,1181.62,428.01,978.36,609.22003,428.01,2272.55,1041.69,231.89,982.57,530.91,1322.75,1218.3,597.72,674.16,593.43,1037.13,1085.38,1147.61,1218.83,611.9,1093.76,461.53,1146.14,1218.39,457.98,848.12,720.13,545.26,1177.0,1255.54,996.6,987.52,721.85,550.65,444.68,948.51,1083.8,948.51,1420.87,1009.01,674.16,834.45,1305.9,408.95,302.65,353.1,1086.78,879.05,540.21,278.78,1413.63,1413.63,316.01,377.42,1594.41,590.89,720.84,843.06,887.4,1222.26,1425.42,1420.04,1721.5499,1420.04,1178.42,1464.63,975.24,536.08997,724.42,813.64,663.06,730.51,765.21,1017.58,850.75,721.52,823.05,1017.58,1017.58,942.63,1095.98,857.58,1095.98,1017.58,631.32,422.82,678.37,678.37,836.12,751.79,836.12,559.31,895.48,812.72,1424.59,1129.1,1047.44,1001.89,1231.97,1487.75,840.95,953.02,953.02,752.61,721.61,793.25,776.83,777.75,713.62,843.06,914.95,828.57,887.4,926.85,1222.26,1425.42,1420.04,1721.5499,1420.04,1178.42,1464.63,975.24,746.68,536.08997,724.42,813.64,663.06,730.51,765.21,1017.58,850.75,721.52,1017.58,1017.58,942.63,1095.98,857.58,1095.98,1017.58,751.62,631.32,422.82,362.36002,617.60004,575.52,678.37,678.37,836.12,579.94,751.79,728.05,836.12,559.31,790.65,895.48,628.63,820.18,711.1,1424.59,945.94,790.65,786.71,2433.7,582.11,1120.69,206.4,1129.1,780.35,1047.44,907.02,1001.89,1292.14,901.38,1231.97,1487.75,953.02,953.02,752.61,721.61,776.83,777.75,713.62
1987,869.26,792.98,1954.49,1954.49,820.35,902.77,3013.06,802.14,1089.92,1174.37,421.68,467.19,905.14,233.21,233.21,233.21,233.21,470.94,470.94,476.83,476.83,829.65,829.65,829.65,829.65,1050.65,467.19,425.58,410.79,832.71,991.94,1333.58,1333.58,1333.58,211.56,211.56,1059.83,1079.14,558.61,558.61,558.61,403.09,403.09,1120.99,1038.6,1032.6,1310.33,660.95,1040.41,905.14,1071.96,1016.45,1071.96,1029.77,573.01,425.94998,976.49,1023.32,978.15,220.57,545.03,1469.6,1116.68,1323.16,805.25,585.96,263.98,323.71,731.79,731.79,731.79,384.14,263.98,263.98,263.16,263.16,425.94998,425.94998,472.65,472.65,863.63,672.76,469.06998,469.06998,469.06998,469.06998,945.34,889.95996,672.76,944.29,944.29,309.53,747.43,480.74,309.53,1812.02,896.65,220.57,943.99,375.59,1174.37,1014.72,579.36,471.02,549.2,1119.9,1393.97,1223.48,991.94,410.79,1381.52,283.8,973.12,1032.6,509.44,1126.89,501.93,506.38,1163.3,1212.66,991.62,1056.5,492.88998,543.08,377.69,794.21,1123.3099,794.21,1120.99,881.65,471.02,648.11,1315.35,351.86,357.82,292.38,1104.17,1024.33,888.48,268.04,1419.0701,1419.0701,377.36,753.04,1453.12,552.08,669.7,901.16,961.28,1270.13,1531.71,1597.41,1742.59,1597.41,1294.6,1480.67,1135.57,780.58,839.35,972.24,827.25,794.02,760.21,1110.97,857.74,733.73,819.8,1110.97,1110.97,1042.32,1162.93,948.57,1162.93,1110.97,702.62,588.26,1095.28,1095.28,748.08997,680.16,748.08997,532.5,821.3,881.27,1201.88,1028.61,977.2,1351.77,1501.94,1546.85,891.26,883.34,883.34,718.48,782.38,952.29,615.04004,745.05,710.52,901.16,1006.73,859.49,961.28,976.39,1270.13,1531.71,1597.41,1742.59,1597.41,1294.6,1480.67,1135.57,926.4,780.58,839.35,972.24,827.25,794.02,760.21,1110.97,857.74,733.73,1110.97,1110.97,1042.32,1162.93,948.57,1162.93,1110.97,826.57,702.62,588.26,256.68,614.23,513.38,1095.28,1095.28,748.08997,568.32,680.16,598.06,748.08997,532.5,710.81,821.3,749.56,772.8,802.22003,1201.88,899.86,710.81,702.9,1998.12,537.24,874.35,167.3,1028.61,878.6,977.2,1223.62,1351.77,1665.52,1139.04,1501.94,1546.85,883.34,883.34,718.48,782.38,615.04004,745.05,710.52
1988,916.07,845.95,2239.3901,2239.3901,908.37,1020.97,2792.71,863.26,953.13,1272.01,362.11,397.49,994.89,417.79,417.79,417.79,417.79,612.56,612.56,582.86,582.86,773.79,773.79,773.79,773.79,786.06,397.49,333.59,648.05,734.52,962.74,1213.24,1213.24,1213.24,181.23,181.23,1137.71,904.71,443.97,443.97,443.97,453.41,453.41,758.64996,568.27997,676.34,1065.97,705.05,1218.8,994.89,784.23,870.54,784.23,972.62,697.64,346.74,1030.28,1046.05,582.62,239.22,553.78,1190.53,765.23,1089.11,650.95,467.96,312.6,352.8,640.72003,640.72003,640.72003,518.64,312.6,312.6,268.63,268.63,346.74,346.74,438.14,438.14,951.33,604.36,383.75,383.75,383.75,383.75,959.27,872.64,604.36,1001.47,1001.47,354.73,918.64,472.72,354.73,2307.32,842.66,239.22,915.82,513.94,1272.01,678.76,463.35,382.18,615.57,1190.84,1049.31,1223.42,962.74,648.05,1058.11,324.86,611.33,676.34,345.37,878.94,416.27,335.88,993.87,1262.34,883.27997,967.64,430.65,494.14,354.9,792.18,1226.77,792.18,758.64996,960.65,382.18,668.17,1281.57,261.09,414.56,334.85,1105.81,959.24,783.89,323.08,1391.24,1391.24,461.83,649.81,1427.12,695.8,701.45,913.42,967.84,1295.6,1559.99,1631.21,1922.61,1631.21,1373.82,1625.96,1050.22,565.46,701.65,831.12,743.22,730.95,653.64,1037.35,756.32,685.31,766.52,1037.35,1037.35,954.71,1138.63,876.99,1138.63,1037.35,698.67,487.93,836.84,836.84,900.38,846.75,900.38,637.94,803.62,872.17004,1273.63,1068.46,714.12,1085.07,1244.62,1551.05,945.05,851.6,851.6,681.61,889.0,953.22,653.77997,691.98,656.36,913.42,1009.41,862.36,967.84,1008.18,1295.6,1559.99,1631.21,1922.61,1631.21,1373.82,1625.96,1050.22,845.49,565.46,701.65,831.12,743.22,730.95,653.64,1037.35,756.32,685.31,1037.35,1037.35,954.71,1138.63,876.99,1138.63,1037.35,933.4,698.67,487.93,324.02002,426.97,490.25,836.84,836.84,900.38,594.78,846.75,758.7,900.38,637.94,783.57,803.62,608.61,776.65,822.12,1273.63,912.01,783.57,803.85,2228.23,526.83997,989.55,218.47,1068.46,723.25,714.12,914.97003,1085.07,1346.66,968.86,1244.62,1551.05,851.6,851.6,681.61,889.0,653.77997,691.98,656.36
