,mean,median,std
AR-TF1,843.1954321739131,840.2049999999999,76.94703667871772
CA-Cbo,912.3589130434783,901.5350149999999,101.51601786157862
CA-DB2,2305.244573913043,2319.49,313.584736548466
CA-DBB,2305.244573913043,2319.49,313.584736548466
CA-ER1,977.0502167391305,955.875,110.20590928338943
CA-LP1,926.5265219565218,931.8,113.56503452443748
PE-QFR,2762.4793456521743,2765.075,230.91402457068128
US-ALQ,904.1019545652174,907.075,124.4028871282583
US-ARM,892.7167376086957,902.2249850000001,168.73457312809617
US-Bar,1338.643913043478,1336.045,159.26879217946217
US-Bi1,471.51934782608697,437.00499,162.00672242546239
US-Bi2,558.7430436956522,528.795,190.98489216705988
US-BRG,1177.2367304347829,1170.865,182.9469309453365
US-BZB,414.43065304347834,419.595,79.66204564293774
US-BZF,414.43065304347834,419.595,79.66204564293774
US-BZo,414.43065304347834,419.595,79.66204564293774
US-BZS,414.43065304347834,419.595,79.66204564293774
US-CF1,631.7921730434783,622.08,93.16669699095324
US-CF2,631.7921730434783,622.08,93.16669699095324
US-CF3,615.0958684782609,597.29,92.86299967282856
US-CF4,615.0958684782609,597.29,92.86299967282856
US-CS1,900.3228226086957,908.405,133.53933698268855
US-CS2,900.3228226086957,908.405,133.53933698268855
US-CS3,900.3228226086957,908.405,133.53933698268855
US-CS4,900.3228226086957,908.405,133.53933698268855
US-DFC,909.4404347826087,929.8599999999999,125.99439558418736
US-DS3,558.7430436956522,528.795,190.98489216705988
US-EDN,490.1593460869564,481.54999,167.81356823568854
US-EML,609.2500023913044,609.915,85.32589711153928
US-GLE,749.92739,740.4,120.12610358974703
US-Ha1,1117.5878260869563,1084.46,151.83185791530698
US-HB1,1366.579565217391,1382.5349999999999,194.102539578744
US-HB2,1366.579565217391,1382.5349999999999,194.102539578744
US-HB3,1366.579565217391,1382.5349999999999,194.102539578744
US-Hn2,245.59456586956526,236.11,53.708385682194454
US-Hn3,245.59456586956526,236.11,53.708385682194454
US-Ho2,1199.2404289130436,1176.02495,160.2196083358206
US-HWB,1106.7817410869568,1091.66,167.3446237654479
US-ICh,521.7293480434782,517.45,78.30988962844276
US-ICs,521.7293480434782,517.45,78.30988962844276
US-ICt,521.7293480434782,517.45,78.30988962844276
US-Jo1,346.3830434782609,339.8,113.49858751782027
