field_1,Site,Period,Dataset,x,y,KG1
0,AR-TF1,2016-2018,AMF,-66.733500000000006,-54.973300000000002,29
1,CA-Cbo,1994-2020,AMF,-79.933300000000003,44.316699999999997,26
2,CA-DB2,2019-2020,AMF,-122.995099999999994,49.119000000000000,9
3,CA-DBB,2014-2020,AMF,-122.984899999999996,49.129300000000001,9
4,CA-ER1,2015-2020,AMF,-80.412300000000002,43.640500000000003,26
5,CA-LP1,2007-2020,AMF,-122.841399999999993,55.111899999999999,26
6,PE-QFR,2018-2019,AMF,-73.319000000000003,-3.834400000000000,1
7,US-ALQ,2015-2021,AMF,-89.606700000000004,46.030799999999999,26
8,US-ARM,2003-2020,AMF,-97.488799999999998,36.605800000000002,14
9,US-Bar,2004-2021,AMF,-71.288100000000000,44.064599999999999,26
10,US-Bi1,2016-2021,AMF,-121.499300000000005,38.099200000000003,8
11,US-Bi2,2017-2021,AMF,-121.535100000000000,38.109099999999998,8
12,US-BRG,2016-2020,AMF,-86.540599999999998,39.216700000000003,25
13,US-BZB,2011-2021,AMF,-148.320799999999991,64.695499999999996,26
14,US-BZF,2011-2021,AMF,-148.312099999999987,64.701300000000003,26
15,US-BZo,2018-2021,AMF,-148.330000000000013,64.693600000000004,26
16,US-BZS,2010-2021,AMF,-148.323499999999996,64.696299999999994,26
17,US-CF1,2017-2020,AMF,-117.082099999999997,46.781500000000001,18
18,US-CF2,2017-2020,AMF,-117.090800000000002,46.783999999999999,18
19,US-CF3,2017-2021,AMF,-117.126099999999994,46.755099999999999,18
20,US-CF4,2017-2021,AMF,-117.128500000000003,46.751800000000003,18
21,US-CS1,2018-2019,AMF,-89.537899999999993,44.103099999999998,26
22,US-CS2,2018-2021,AMF,-89.500200000000007,44.146700000000003,26
23,US-CS3,2019-2020,AMF,-89.572699999999998,44.139400000000002,26
24,US-CS4,2020-2021,AMF,-89.547499999999999,44.159700000000001,26
25,US-DFC,2018-2021,AMF,-89.711699999999993,43.344799999999999,25
26,US-DS3,2021-2021,AMF,-121.549000000000007,38.123500000000000,8
27,US-EDN,2018-2019,AMF,-122.114000000000004,37.615600000000001,9
28,US-EML,2008-2020,AMF,-149.253600000000006,63.878399999999999,27
29,US-GLE,2005-2020,AMF,-106.239900000000006,41.366500000000002,27
30,US-Ha1,1991-2020,AMF,-72.171499999999995,42.537799999999997,26
31,US-HB1,2019-2019,AMF,-79.195700000000002,33.345500000000001,14
32,US-HB2,2019-2019,AMF,-79.244000000000000,33.324199999999998,14
