,Site,N,EC average,EC std,SSEBop average,SSEBop std,r2,nse,bias,rmse,pbias
0,AR-TF1,12,1.1550815245803339,0.5860272660511712,1.616666666666667,0.6422026490324082,0.4529963166450699,-0.16792311442221575,0.4615851420863328,0.6644846287680893,39.96126093818673
1,CA-Cbo,108,1.5554911403509382,1.45848132362298,1.6444444444444444,1.6364614968063245,0.7868647585197527,0.7838649201982947,0.08895330409350649,0.7572659561853679,5.718663500290816
2,CA-DB2,39,0.760650540427618,0.6374698564438693,1.6128205128205126,1.3221154275549007,0.8190070644802997,0.21384300396500067,0.8521699723928947,1.157133613483498,112.03173166929281
3,CA-DBB,108,0.8774520180473232,0.7557522175409074,1.587962962962963,1.2542054559434204,0.7848967444602918,0.38067371182558196,0.7105109449156399,0.9824454691251523,80.97433595250108
4,CA-ER1,108,1.5971806350898703,1.3183576920637785,1.453703703703704,1.508259250746631,0.6415236248160308,0.6270402740459062,-0.14347693138616646,0.9168261192709305,-8.983137425660892
5,CA-LP1,78,0.8826867479875554,0.7220211272978138,1.1679487179487178,1.3595734233353842,0.8022045167547818,0.6246805402662573,0.28526196996116276,0.8275633881215892,32.317463767472866
6,PE-QFR,72,2.80589452742115,0.43432822043243086,1.7680555555555557,0.6876836786928509,0.1413801658904968,-2.2336446459748243,-1.0378389718655947,1.2279983672573072,-36.987811256735114
7,US-ALQ,117,1.1693542688259249,1.02783840429818,1.494017094017094,1.6377702776836247,0.9221151579313807,0.7718005793253038,0.3246628251911695,0.7790158926434553,27.764282719653732
8,US-ARM,108,1.8447485920758606,1.210446435504322,2.3870370370370364,1.5697545848187107,0.5721595853335809,0.4514852758150466,0.5422884449611763,1.1571933156893202,29.396333315584723
9,US-Bar,144,0.9277228297034138,0.994384356132727,1.802777777777778,1.703880574808285,0.7291572899542871,0.3904969348473859,0.8750549480743641,1.3256042000388482,94.32288610964902
