,Site,N,EC average,EC std,v3L1 average,v3L1 std,r2,nse,bias,rmse,urmse,r,pbias
0,AR-TF1,12,1.1550815245803339,0.5860272660511712,1.2833333333333334,0.5982297116315671,0.8412387532650567,0.7872040761049606,0.1282518087529995,0.2642137109109686,0.2309986116515183,0.8412387532650567,11.103268992168855
1,CA-Cbo,108,1.5554911403509382,1.45848132362298,1.4435185185185186,1.7108927083446654,0.8687722673891524,0.8581109464194769,-0.11197262183241943,0.6414713029872434,0.6316229607258794,0.8687722673891524,-7.198538064778499
2,CA-DB2,39,0.760650540427618,0.6374698564438693,1.107692307692308,1.1428000274912529,0.8982864772465556,0.6515668006809471,0.3470417672646897,0.6658700806057571,0.5682824790715604,0.8982864772465556,45.62433717191495
3,CA-DBB,108,0.8774520180473232,0.7557522175409074,1.111111111111111,1.0805271587563032,0.8570288818246601,0.7586047696774256,0.23365909306378801,0.5284209660361593,0.47395373780063793,0.8570288818246601,26.629272969680056
4,CA-ER1,108,1.5971806350898703,1.3183576920637785,0.9185185185185185,1.0766118668319573,0.6637368838498181,0.09468784691101773,-0.6786621165713517,1.01962000743412,0.7609485469404931,0.6637368838498181,-42.49125625876153
5,CA-LP1,78,0.8826867479875554,0.7220211272978138,0.5871794871794871,0.7592475725722647,0.8461051385562982,0.6916838020322914,-0.29550726080806805,0.41887037371283037,0.29686335035507266,0.8461051385562982,-33.47815762293899
6,PE-QFR,72,2.80589452742115,0.43432822043243086,2.7680555555555557,0.4171757453447077,0.07871558121117687,-0.5080677344681626,-0.037838971865594644,0.5087359177920835,0.5073267647777991,0.07871558121117687,-1.3485528944800287
7,US-ALQ,117,1.1693542688259249,1.02783840429818,1.3076923076923077,1.697978201707784,0.9293596863336892,0.793997410512643,0.13833803886638313,0.7673694654009144,0.7547969815998791,0.9293596863336892,11.83029322715687
8,US-ARM,108,1.8447485920758606,1.210446435504322,1.677777777777778,1.3174127386614793,0.6871653779183954,0.6628785828306736,-0.16697081429808286,0.7613687397175294,0.742834507135805,0.6871653779183954,-9.051141982994753
9,US-Bar,144,0.9277228297034138,0.994384356132727,1.4180555555555554,1.6378244472375307,0.7873294916150974,0.6185739966185362,0.4903327258521419,1.0079970723937843,0.880699674073318,0.7873294916150974,52.85336418948509
10,US-Bi1,144,2.4261945389226964,1.4564605618664153,2.565277777777778,1.5423313315516662,0.8113916063584162,0.8013060860095568,0.13908323885508142,0.6851043676388564,0.6708381676883163,0.8113916063584162,5.732567468264048
11,US-Bi2,144,1.9708818362624616,1.3573182486069986,2.10625,2.0613397350986338,0.7056000070377028,0.6683020232021968,0.1353681637375387,1.1830626915873481,1.1752926412056819,0.7056000070377028,6.868405870249838
12,US-BRG,108,1.828768806120635,1.2291068204710305,1.9175925925925925,1.8883226351775952,0.871113998960163,0.7891105292526568,0.0888237864719577,0.8631448001844872,0.8585623338129283,0.871113998960163,4.857026551124277
