,Site,N,EC average,EC std,v3L1 average,v3L1 std,r2,nse,bias,rmse,pbias
0,AR-TF1,12,1.1550815245803339,0.5860272660511712,1.3083333333333333,0.6160111175698837,0.8642604569462846,0.7962723977394509,0.15325180875299946,0.26620683788423943,13.267618388120194
1,CA-Cbo,108,1.5554911403509382,1.45848132362298,1.4490740740740744,1.704159033996927,0.8665091029931948,0.8569439712388853,-0.1064170662768639,0.6415687689493217,-6.841380417818058
2,CA-DB2,39,0.760650540427618,0.6374698564438693,1.1192307692307695,1.1634010590898987,0.8938920218609481,0.6383703528309626,0.3585802288031512,0.6905910783155117,47.14125735078906
3,CA-DBB,108,0.8774520180473232,0.7557522175409074,1.1236111111111111,1.0930207292827272,0.8585247997982354,0.752044389730394,0.246159093063788,0.5417455830749424,28.053852290588956
4,CA-ER1,108,1.5971806350898703,1.3183576920637785,0.9231481481481482,1.1309458849429694,0.6915759137504102,0.22142796379657959,-0.6740324869417219,0.9932789605024447,-42.20139363909802
5,CA-LP1,78,0.8826867479875554,0.7220211272978138,0.592948717948718,0.7664102678296384,0.8492381116619705,0.7040416355495527,-0.2897380300388373,0.4142616065062076,-32.82455873495477
6,PE-QFR,72,2.80589452742115,0.43432822043243086,2.9243055555555557,0.351505119426141,0.13915656323602585,-0.7199789022216143,0.11841102813440536,0.45777928934527456,4.220081224622328
7,US-ALQ,117,1.1693542688259249,1.02783840429818,1.3333333333333333,1.7383727031831844,0.9266036407229367,0.7797371700148987,0.16397906450740884,0.8123619342898457,14.023044074748187
8,US-ARM,108,1.8447485920758606,1.210446435504322,1.6201388888888886,1.2606159409681656,0.6769976200737358,0.6260749627945146,-0.2246097031869718,0.7672821210104639,-12.175626757585583
9,US-Bar,144,0.9277228297034138,0.994384356132727,1.5039930555555556,1.734090174765191,0.7764713525065534,0.5705576085619379,0.5762702258521419,1.132428801867428,62.11663736208489
10,US-Bi1,144,2.4261945389226964,1.4564605618664153,2.565277777777778,1.5423313315516662,0.8113916063584162,0.8013060860095568,0.13908323885508142,0.6851043676388564,5.732567468264048
11,US-Bi2,144,1.9708818362624616,1.3573182486069986,2.0416666666666665,1.9164497698295457,0.7057093581242451,0.686959371942661,0.07078483040420537,1.0685247022453466,3.5915309128039974
12,US-BRG,108,1.828768806120635,1.2291068204710305,1.9421296296296295,1.8908926097332408,0.8839308504193968,0.7961092221539625,0.11336082350899478,0.8498566301950224,6.198750937220268
13,US-BZB,144,0.7341733175397278,0.8331802382073235,0.9944444444444444,1.3777085352427796,0.9181372033607693,0.7572808337153024,0.26027112690471665,0.6763884103210991,35.45091066192729
14,US-BZF,144,0.7921109076197725,0.9152298734434074,0.9878472222222222,1.3779671929648163,0.828961650526555,0.7479869163758799,0.19573631460244983,0.6893458966281466,24.710720774016504
15,US-BZo,144,0.8074072859081348,0.9309498219331075,1.038888888888889,1.4308836875959303,0.9310757683703901,0.8059301914195576,0.23148160298075415,0.6281597341000185,28.669744132961867
16,US-BZS,144,0.7808008606920915,0.7926375281936957,1.0392361111111112,1.4391250400589342,0.8581205537055617,0.6845935096285529,0.2584352504190196,0.8054166723817965,33.09874046372669
17,US-CF1,108,1.2104201702937953,1.279736615329902,0.9935185185185185,1.8264520864104055,0.8150164300080653,0.7599314090997314,-0.21690165177527662,0.890750277990954,-17.919533819618177
18,US-CF2,108,1.1815747177677705,1.0968317961045717,0.9349537037037037,1.6402428153062354,0.7938655867179817,0.721634199034946,-0.24662101406406708,0.8613825992986237,-20.87223180688761
19,US-CF3,144,1.019344069112851,0.9928600056952904,0.9578125000000001,1.7553899730842986,0.5120338418734696,0.4883088741797401,-0.06153156911285091,1.2513083094598516,-6.036388593147225
20,US-CF4,144,1.323813624495733,1.3497623024654648,1.002951388888889,1.7312772088386692,0.7384672817516318,0.6975256229104896,-0.32086223560684396,0.9488502580713392,-24.23771969631048
