,Site,N,EC average,EC std,v3L1 average,v3L1 std,r2,nse,bias,rmse,pbias
0,AR-TF1,12,,,1.2833333333333334,0.5982297116315671,,1.0,,,
1,CA-Cbo,108,1.839808913645599,1.8006617983826931,1.4435185185185186,1.7108927083446654,0.8904942460277888,0.8245019450322851,-0.3962903951270803,0.7134095854576123,-21.53975840576982
2,CA-DB2,39,1.3305716982918558,0.6640927596945211,1.107692307692308,1.1428000274912529,,0.7878818932211831,0.13494554308745443,0.6024928712157842,10.141921946836316
3,CA-DBB,108,1.3556556018609054,0.9953387700689265,1.111111111111111,1.0805271587563032,,0.8590919093508285,-0.17149718601932112,0.4174792112114301,-12.650498089921017
4,CA-ER1,108,,,0.9185185185185185,1.0766118668319573,,1.0,,,
5,CA-LP1,78,0.9932758396707294,0.7722033258775151,0.5871794871794871,0.7592475725722647,0.7278009801755067,0.41112301659136974,-0.4060963524912421,0.5788869554233619,-40.88454951505343
6,PE-QFR,72,,,2.7680555555555557,0.4171757453447077,,1.0,,,
7,US-ALQ,117,,,1.3076923076923077,1.697978201707784,,1.0,,,
8,US-ARM,108,2.2839170883298285,1.4945604604561118,1.677777777777778,1.3174127386614793,0.7198081025066354,0.4243139158519569,-0.6061393105520511,0.9949350608508896,-26.539462121862996
9,US-Bar,144,,,1.4180555555555554,1.6378244472375307,,1.0,,,
10,US-Bi1,144,3.0789388168076686,1.862544783830063,2.565277777777778,1.5423313315516662,0.782959441831577,0.5670886052740958,-0.5136610390298908,1.0112626384760401,-16.683054441545195
11,US-Bi2,144,2.571019920328262,1.8648696093250756,2.10625,2.0613397350986338,0.760622432414775,0.7083706911507938,-0.46476992032826225,1.109307455756559,-18.077258626176704
12,US-BRG,108,,,1.9175925925925925,1.8883226351775952,,1.0,,,
13,US-BZB,144,1.0311153913907845,1.1765899359546637,0.9715277777777778,1.3459425269811063,0.8651673791691374,0.8600612119674877,-0.059587613613006574,0.5017441785666671,-5.778947158633127
14,US-BZF,144,1.0903723827711789,1.3085331571776233,0.9138888888888891,1.2975830739192893,0.7338646673537437,0.6921996378145551,-0.1764834938822898,0.717391964399298,-16.185616645366366
15,US-BZo,144,1.0402169113017417,1.1606302305853098,1.0381944444444444,1.4276978646395022,0.9033779831950806,0.8844631901858789,-0.0020224668572970486,0.48359663303290984,-0.19442741560181961
16,US-BZS,144,0.6935655250049391,0.7491911654151737,1.0173611111111112,1.4099213815859746,0.8763645487516514,0.6594134497746469,0.32379558610617215,0.8199651910473286,46.68565181406131
17,US-CF1,108,,,0.9601851851851853,1.7437707458218468,,1.0,,,
18,US-CF2,108,,,0.9333333333333333,1.6657629948885848,,1.0,,,
19,US-CF3,144,,,0.9187500000000001,1.702198033970532,,1.0,,,
20,US-CF4,144,,,0.9979166666666668,1.7932846275047234,,1.0,,,
21,US-CS1,29,,,0.8758620689655174,1.690446934227285,,1.0,,,
22,US-CS2,108,3.5937458989395563,0.9510532245755607,1.6972222222222226,1.803965431281477,,0.9400199135547337,0.7430962063236015,1.0484478733045748,20.677483250634793
23,US-CS3,36,,,1.1166666666666667,1.750673339848741,,1.0,,,
24,US-CS4,42,,,1.0261904761904763,1.9199923175417353,,1.0,,,
25,US-DFC,116,1.9518078351800912,1.6747504090420091,1.4215517241379312,1.9434977895976402,0.7783583135126037,0.7028502109006523,-0.5302561110421598,1.054852386521957,-27.167434287568256
26,US-DS3,17,3.789825198011132,2.5322565121881846,3.0882352941176476,2.5980479097153832,,0.8188581363580816,-0.8164918646777984,1.1420126986210921,-21.544314632408017
27,US-EDN,62,,,0.9354838709677421,0.5408241355905162,,1.0,,,
28,US-EML,84,,,0.5130952380952382,0.8634171061857413,,1.0,,,
29,US-GLE,100,1.4901020530291051,0.8021549575018543,1.183,1.3310628395490134,0.5403463652425186,0.4690368361985948,-0.3071020530291058,0.9650467501123801,-20.609464459486077
30,US-Ha1,108,,,1.9092592592592594,2.0551979706372805,,1.0,,,
31,US-HB1,36,,,2.136111111111111,1.1489505218186298,,1.0,,,
32,US-HB2,36,2.8779759781669756,1.1691577126542863,2.6833333333333336,1.4279855941650312,0.9030813942165093,0.8666633218949762,-0.19464264483364255,0.5141400240627156,-6.763178230473391
33,US-HB3,108,2.3013735237155224,1.3520459875734672,2.359259259259259,1.2880498217737575,0.7607412902196019,0.7272037138970444,0.057885735543736744,0.6696253705280382,2.5152690316121027
34,US-Hn2,36,0.9570134768753987,0.7463307681294556,1.0222222222222221,0.9121751433049972,0.5803157942525707,0.571878035147861,0.06520874534682343,0.5884976871152136,6.813775032690943
35,US-Hn3,36,0.5946288812975241,0.3850611941653465,0.9861111111111112,0.8747743473205869,,0.059842550654171545,0.47088836008178636,0.9318185630112604,79.1902941300586
36,US-Ho2,108,,,1.4592592592592593,1.5743289350411678,,1.0,,,
37,US-HWB,24,,,1.9041666666666668,1.7789784969902316,,1.0,,,
38,US-ICh,144,0.28733077469683477,0.45343521816529164,0.19722222222222224,0.4139092911748917,0.7030016741996298,0.5892057274032596,-0.09010855247461251,0.26436511001385044,-31.360564342502762
39,US-ICs,108,0.3451040649358794,0.5291175277183078,0.1824074074074074,0.38349809091964204,0.6325710930447033,0.10941773416189216,-0.16269665752847204,0.36023029921994854,-47.1442309897744
40,US-ICt,144,0.5072409190831313,0.7796338779889698,0.20347222222222222,0.42679701443507256,0.6747576727724897,-0.8459320455888177,-0.3037686968609091,0.5778511741576502,-59.88647315953718
41,US-Jo1,108,0.7864076411776539,0.545200867373835,0.3953703703703705,0.26382671290258514,0.23079972372793595,-4.5022707341133765,-0.39103727080728373,0.6159844592145448,-49.724500415802325
42,US-Jo2,108,0.8460435080273602,0.5330424742902584,0.5462962962962964,0.3587168007826291,,-1.2415724666582437,-0.29132652689528477,0.5395939425246498,-34.43398881158527
43,US-KFS,72,1.7141121057372133,1.6849944468069018,1.6375000000000002,1.6129264366798766,,0.6389461044536326,-0.10425295080763579,0.9691713734488226,-6.082038068496004
44,US-KLS,72,1.3925598169211528,1.2494394769941588,1.8527777777777779,1.7541076317388768,,0.35826051201673514,0.5552013771086978,1.4465298260509596,39.86912234306797
45,US-Kon,72,,,1.6361111111111113,1.7813830325360125,,1.0,,,
46,US-KS3,25,,,1.98,0.5715476066494083,,1.0,,,
47,US-Me2,108,1.1880454171224075,0.9939137126272809,1.8212962962962962,1.815563604258372,0.6623507718412172,0.468585693247628,0.6332508791738887,1.3173710044619102,53.30190833172863
48,US-Me6,126,0.8621813221424085,0.7485195338255057,0.8119047619047619,0.7822641132361514,0.2481426834823758,0.033551487670890334,-0.05027656023764642,0.765971308204991,-5.8313209700154145
49,US-MMS,108,1.991564886506318,2.0346710386119295,2.1212962962962965,2.106556339698182,,0.9804133227088048,-0.02577541282210712,0.4947132625332434,-1.2942291258871996
50,US-Mo1,144,2.303923994535065,1.4515868700090664,1.9319444444444445,1.7589989515566269,0.6851121798381996,0.6400727637571482,-0.37197955009062045,1.0516221116199624,-16.145478365300256
51,US-Mo2,144,2.233312389658306,1.7608381197023149,2.120833333333333,2.033044325825001,0.931060451931505,0.9182155824539385,-0.11247905632497214,0.5793872084518075,-5.036422886731995
52,US-Mo3,144,2.1680239973659865,1.56405418459076,1.8861111111111113,1.9025787105414982,0.7724326605248387,0.7470960948100521,-0.2819128862548752,0.9534703079487777,-13.003217980860992
53,US-MOz,72,1.896494603394434,1.796657713475994,2.290277777777778,2.1849781461647457,0.8237798175121681,0.7835581077409679,0.3937831743833437,1.0094404061142668,20.763738197753494
54,US-Mpj,108,,,1.237962962962963,0.8991914948495844,,1.0,,,
55,US-Myb,144,,,2.4201388888888893,1.571849378943629,,1.0,,,
56,US-NC3,108,2.8720154732028855,1.6581017134708353,2.4490740740740744,1.7317537634621984,0.6207453644943633,0.5317782745812116,-0.4229413991288119,1.179483668091331,-14.726292496507536
57,US-NC4,144,2.6574988675683366,1.6707379873841774,2.051388888888889,1.4727827289145425,0.8704143957514465,0.6592826104462213,-0.6061099786794476,0.8566878452637932,-22.807534786799366
58,US-Ne1,108,,,1.6268518518518518,2.2348809364878734,,1.0,,,
59,US-NGB,72,0.6360112485745348,0.643118504604646,0.0625,0.1569403762265812,,-16.297127802302384,-0.542261248574535,0.7938349986546887,-85.2596946657598
60,US-NGC,72,0.6335729102486842,0.7013740997437246,0.3541666666666667,0.6030293244919216,,-0.6867798775273211,-0.24126521794099187,0.818540426734436,-38.0801031796471
61,US-ONA,108,3.02292427230839,0.9494542738582833,2.827777777777778,0.9276473440998884,0.7400828079564035,0.6687717996583735,-0.19514649453061225,0.5314061412671507,-6.4555535286893875
62,US-Pnp,144,,,2.324305555555556,1.760492879482953,,1.0,,,
63,US-RGA,24,2.804917677734936,1.4010281106897478,2.4875000000000003,1.5065978084816594,,0.6990135809837867,-0.29187419947406623,0.8265531424501019,-10.405802701124703
64,US-RGB,36,4.182522034553385,2.6653595624073856,2.9555555555555553,3.124689190892838,,0.6551093102331322,-0.27052203455338464,2.1712587335658933,-6.46791654218437
65,US-RGo,19,3.65463847771491,2.1367279100111887,3.710526315789474,2.5405368498370806,0.9187979831946187,0.9044842517877562,0.055887838074563156,0.7642271135809376,1.5292302758632215
66,US-Rls,144,1.1942945361639579,0.9543763822274928,0.7652777777777777,0.7476134003786963,0.5264927155572371,-0.10867546967529829,-0.42901675838618014,0.7844514482038789,-35.92219049784574
67,US-Rms,108,1.5303855744883448,1.4425797131162035,0.8083333333333335,0.9953278706503985,0.8573153118542902,0.05214405018249313,-0.7220522411550113,0.9645335675692542,-47.18106686260525
68,US-Ro4,144,1.3287167241000222,1.30090813393832,1.271527777777778,1.674893303957772,0.930790040178067,0.8942481161745368,-0.05718894632224447,0.5427726744264582,-4.304073643761817
69,US-Ro5,108,1.5606507785452008,1.5692494741107288,1.4564814814814815,1.8918058992405968,0.8205951931680872,0.8117026597399544,-0.10416929706371911,0.81710652633284,-6.6747345719984255
70,US-Ro6,144,1.8860237336353596,1.670327651548635,1.3847222222222222,1.850054599248903,0.61337772483722,0.5251211944983012,-0.5013015114131371,1.2704650190663882,-26.57980928197894
71,US-Rpf,144,1.0436306793935708,1.2404429944163566,0.8333333333333334,1.2965257502182603,0.8550494790570301,0.8275289215718428,-0.21029734606023742,0.53656959417468,-20.150552318223937
72,US-Rwf,108,1.518253246496991,1.4903493663964182,0.7435185185185185,0.8595013929678491,0.8724064492742022,-0.5875754985311958,-0.7747347279784726,1.0779380190302599,-51.028030387288105
73,US-Rws,108,0.9126421848151063,0.7768142781396324,0.5157407407407407,0.45161434979582105,0.3790229925017143,-1.6203497523258843,-0.39690144407436534,0.7276581123202336,-43.489272211844366
74,US-Seg,144,,,0.42361111111111116,0.4369292258560288,,1.0,,,
75,US-Ses,144,,,0.3020833333333333,0.3100797889648334,,1.0,,,
76,US-Sne,108,3.6238674947186147,2.1776851379907947,2.3740740740740742,1.3513143736813529,0.875607338420166,-0.44447104078603417,-1.2497934206445407,1.6165562726749276,-34.48783440525836
77,US-Snf,74,2.50401726767367,1.384130625159746,2.102702702702703,1.1202950899141466,0.7204504100627944,0.440823332545502,-0.40131456497096724,0.8320559363872949,-16.026828974059118
78,US-SRG,144,1.407280792363018,1.0965783745069064,1.5666666666666669,0.9867655718083673,0.5767134388468226,0.426629278505113,0.15938587430364878,0.744592260070291,11.325804712790685
79,US-SRS,36,1.240555751456772,0.9133964600636365,1.338888888888889,0.7724831122621121,0.5221831192238632,0.29410591952468823,0.09833313743211712,0.6399433576085928,7.926539159295785
80,US-Syv,144,1.8934142838825112,1.595008160515777,1.3624999999999998,1.690486543940755,,0.5947656284860667,-0.4819034925156044,1.0915043581511652,-25.451561056539866
81,US-Ton,144,1.1703313932633,1.0056734766657929,1.6291666666666669,1.0441897183137592,0.26859588500386405,-0.12373490100930362,0.4588352734033668,1.10305741901304,39.20558536193504
82,US-Tw1,108,,,2.4509259259259255,1.6433664655992413,,1.0,,,
83,US-Tw3,16,2.634214484571429,1.4394350114572487,2.525,1.2922847983320085,0.8393740122345514,0.792672267503116,-0.10921448457142871,0.5697345708226191,-4.1459981793850496
84,US-Tw4,129,3.628457059425465,2.817427763941906,2.487596899224806,1.7300653777358554,0.8919377908207237,-0.014281867192940112,-1.140860160200659,1.735609327607231,-31.442019059784723
85,US-Tw5,60,,,2.6566666666666676,1.6575831565577503,,1.0,,,
86,US-UMB,144,,,1.3229166666666667,1.6173758747674336,,1.0,,,
87,US-UMd,144,,,1.3256944444444445,1.601517921921155,,1.0,,,
88,US-Var,144,1.1739718893263031,1.2604646139838147,1.563888888888889,1.0074971489044053,0.18213522694051074,-0.6481834594992253,0.38991699956258585,1.288941996626773,33.213486890758865
89,US-Vcm,144,,,0.836111111111111,0.9748308880494401,,1.0,,,
90,US-Vcp,144,,,1.9548611111111112,1.610274261533792,,1.0,,,
91,US-Whs,108,0.9055656554452278,0.5711221329206975,0.8731481481481482,0.5357511072084156,0.20490852237422208,-0.17498906455607433,-0.03241750729707963,0.578042806181497,-3.5798075050827025
92,US-Wjs,144,,,0.47291666666666665,0.6010734860766493,,1.0,,,
93,US-Wkg,144,0.9520141513587137,0.8654304361469416,1.2187500000000002,0.9066166065811233,0.6479889111172923,0.5384455999762205,0.2667358486412864,0.6137929420782747,28.01805501111525
94,US-xAB,51,1.3004628333658406,1.0639749300582717,1.9470588235294117,1.771367036068637,0.751989090372483,0.5450462891782333,0.6465959901635708,1.1830199772207908,49.72045133270434
95,US-xAE,107,1.7240137304286998,1.3522172405984327,1.210280373831776,0.9626941930479069,0.8012350554525716,0.25418495847636946,-0.513733356596924,0.8274942123439742,-29.798681270895514
96,US-xBA,108,0.35184840548597995,0.6005293513312036,0.07407407407407407,0.17259447927102262,,-11.512676309482604,-0.27565792929550376,0.616310042223926,-78.3456525587375
97,US-xBL,88,2.0597242366963737,1.466278934824044,2.3193181818181823,1.9037082961701357,0.8285351307795786,0.7901220971634373,0.25959394512180817,0.8671656188169885,12.60333497547105
98,US-xBN,108,0.8517332769776638,0.8784342569630301,0.9379629629629629,1.3942952926483747,,0.6333470459980884,0.16026672302233633,0.8733216851840705,18.816538857215416
