,Site,N,EC average,EC std,MODIS average,MODIS std,r2,r,nse,bias,rmse,urmse,pbias,rrmse
0,AR-TF1,12,1.1550815245803339,0.5860272660511712,1.2596135179924242,0.5584997651675893,0.7997373258034068,0.7997373258034068,0.7374942286306858,0.10453199341209034,0.27396692955054636,0.25324087513797755,9.049750271961893,23.71840633933475
1,CA-Cbo,108,1.5554911403509382,1.45848132362298,1.8038399402006178,1.4729825668596275,0.7833195945725314,0.7833195945725314,0.743580685095949,0.24834879984967936,0.7424256805402514,0.6996561760885694,15.965941136357023,47.729341638856965
2,CA-DB2,39,0.760650540427618,0.6374698564438693,1.281137577700078,0.8779970388604551,0.8898253010181074,0.8898253010181074,0.48195147028721075,0.5204870372724597,0.6237890813838293,0.3438110848780457,68.42656510568642,82.0073145590814
3,CA-DBB,108,0.8774520180473232,0.7557522175409074,1.349191842469837,0.7800343566454508,0.7621199898182894,0.7621199898182894,0.3837653466621439,0.47173982442251405,0.6094903040425963,0.3859274138691784,53.76246389772073,69.4613826746849
4,CA-ER1,108,1.5971806350898703,1.3183576920637785,1.6065851110935752,1.2090757149674825,0.7079658019950467,0.7079658019950467,0.6459148460650561,0.009404476003704497,0.7161225811029146,0.7160608263245491,0.5888173070152034,44.83666814947451
5,CA-LP1,78,0.8826867479875554,0.7220211272978138,0.892625564539627,0.7015056667595284,0.7278502983389489,0.7278502983389489,0.6966345328088148,0.00993881655207175,0.3838948765693947,0.3837661998949035,1.1259732373609708,43.49163250095685
6,PE-QFR,72,2.80589452742115,0.43432822043243086,,,,,,,,,,
7,US-ALQ,117,1.1693542688259249,1.02783840429818,1.5615609800856196,1.3612804812384396,0.8908488073129431,0.8908488073129431,0.7714787122928326,0.392206711259695,0.6479582330904458,0.5157749193907617,33.54045234328217,55.41162762770088
8,US-ARM,108,1.8447485920758606,1.210446435504322,1.30555061246142,0.6399753059457569,0.5151034356851066,0.5151034356851066,-1.5789310530014475,-0.5391979796144409,1.0229704614398447,0.8693296864585689,-29.22880559066814,55.453109753493045
9,US-Bar,144,0.9277228297034138,0.994384356132727,1.7276969565446127,1.37389002262039,0.7292652036224074,0.7292652036224074,0.3709052959761171,0.7999741268411991,1.0859173121501589,0.7343417496044239,86.2298631905981,117.05191220715336
10,US-Bi1,144,2.4261945389226964,1.4564605618664153,2.1093755039629065,1.1731713788656004,0.7569004025601784,0.7569004025601784,0.5454695191230092,-0.31681903495978997,0.7881878540210429,0.7217103243777547,-13.058270055313338,32.486589239914046
11,US-Bi2,144,1.9708818362624616,1.3573182486069986,1.36056347732129,1.1944886193439361,0.6445520692644675,0.6445520692644675,0.27045412775427,-0.6103183589411716,1.0167053088312932,0.8131427831230443,-30.966765622974453,51.58631482237167
12,US-BRG,108,1.828768806120635,1.2291068204710305,1.8734899559834455,1.2165195117404024,0.8915261284300952,0.8915261284300952,0.8857875376938048,0.04472114986281069,0.40921904485078253,0.40676804867582067,2.4454239219925022,22.376751149799976
13,US-BZB,144,0.7341733175397278,0.8331802382073235,1.0866967362426347,0.8899321468444678,0.8817654209136722,0.8817654209136722,0.7237461414109896,0.3525234187029069,0.46612011406132625,0.30495114362559594,48.01637573594208,63.48911121195894
14,US-BZF,144,0.7921109076197725,0.9152298734434074,1.1217241095854378,0.95729711415391,0.7643677454109267,0.7643677454109267,0.638297693874233,0.32961320196566535,0.5737321160454814,0.4695994868736199,41.61200139966834,72.430780907878
15,US-BZo,144,0.8074072859081348,0.9309498219331075,1.007454114714857,0.8488887461573718,0.8809892906389307,0.8809892906389307,0.8000840786212374,0.20004682880672217,0.37823458753184563,0.3210026004408055,24.776445828293294,46.845575229907
16,US-BZS,144,0.7808008606920915,0.7926375281936957,1.0866967362426347,0.8899321468444678,0.8584854312367712,0.8584854312367712,0.7382224087291054,0.30589587555054315,0.45374296151962995,0.335127421214336,39.17719497381203,58.11250785730925
