,Site,N,EC average,EC std,v3L1 average,v3L1 std,r2,r,nse,bias,rmse,urmse,pbias,rrmse
0,AR-TF1,12,1.1550815245803339,0.5860272660511712,1.3083333333333333,0.6160111175698837,0.8642604569462846,0.8642604569462846,0.7962723977394509,0.15325180875299946,0.26620683788423943,0.2176693907058588,13.267618388120194,23.04658435091481
1,CA-Cbo,108,1.5554911403509382,1.45848132362298,1.4490740740740744,1.704159033996927,0.8665091029931948,0.8665091029931948,0.8569439712388853,-0.1064170662768639,0.6415687689493217,0.6326815101582894,-6.841380417818058,41.24541453862449
2,CA-DB2,39,0.760650540427618,0.6374698564438693,1.1192307692307695,1.1634010590898987,0.8938920218609481,0.8938920218609481,0.6383703528309626,0.3585802288031512,0.6905910783155117,0.5902001838024629,47.14125735078906,90.78953364409355
3,CA-DBB,108,0.8774520180473232,0.7557522175409074,1.1236111111111111,1.0930207292827272,0.8585247997982354,0.8585247997982354,0.752044389730394,0.246159093063788,0.5417455830749424,0.48259090095361584,28.053852290588956,61.74076438738382
4,CA-ER1,108,1.5971806350898703,1.3183576920637785,0.9231481481481482,1.1309458849429694,0.6915759137504102,0.6915759137504102,0.22142796379657959,-0.6740324869417219,0.9932789605024447,0.7295774804117616,-42.20139363909802,62.189519374341444
5,CA-LP1,78,0.8826867479875554,0.7220211272978138,0.592948717948718,0.7664102678296384,0.8492381116619705,0.8492381116619705,0.7040416355495527,-0.2897380300388373,0.4142616065062076,0.2960820031246712,-32.82455873495477,46.93189372681599
6,PE-QFR,72,2.80589452742115,0.43432822043243086,2.9243055555555557,0.351505119426141,0.13915656323602585,0.13915656323602585,-0.7199789022216143,0.11841102813440536,0.45777928934527456,0.44219984867661094,4.220081224622328,16.314914365865768
7,US-ALQ,117,1.1693542688259249,1.02783840429818,1.3333333333333333,1.7383727031831844,0.9266036407229367,0.9266036407229367,0.7797371700148987,0.16397906450740884,0.8123619342898457,0.7956398548881366,14.023044074748187,69.47098547863406
8,US-ARM,108,1.8447485920758606,1.210446435504322,1.6201388888888886,1.2606159409681656,0.6769976200737358,0.6769976200737358,0.6260749627945146,-0.2246097031869718,0.7672821210104639,0.7336704535802,-12.175626757585583,41.59277444668251
9,US-Bar,144,0.9277228297034138,0.994384356132727,1.5039930555555556,1.734090174765191,0.7764713525065534,0.7764713525065534,0.5705576085619379,0.5762702258521419,1.132428801867428,0.9748372264615359,62.11663736208489,122.06542359526252
10,US-Bi1,144,2.4261945389226964,1.4564605618664153,2.565277777777778,1.5423313315516662,0.8113916063584162,0.8113916063584162,0.8013060860095568,0.13908323885508142,0.6851043676388564,0.6708381676883163,5.732567468264048,28.237816739257166
11,US-Bi2,144,1.9708818362624616,1.3573182486069986,2.0416666666666665,1.9164497698295457,0.7057093581242451,0.7057093581242451,0.686959371942661,0.07078483040420537,1.0685247022453466,1.0661775401372673,3.5915309128039974,54.21556394632334
12,US-BRG,108,1.828768806120635,1.2291068204710305,1.9421296296296295,1.8908926097332408,0.8839308504193968,0.8839308504193968,0.7961092221539625,0.11336082350899478,0.8498566301950224,0.8422622012056588,6.198750937220268,46.471518288734494
