,Site,N,EC average,EC std,v3L1 average,v3L1 std,r2,r,nse,bias,rmse,urmse,pbias,rrmse
0,AR-TF1,12,,,1.3083333333333333,0.6160111175698837,,,1.0,,,,,
1,CA-Cbo,108,1.839808913645599,1.8006617983826931,1.4490740740740744,1.704159033996927,0.8880823487043678,0.8880823487043678,0.8219680194777846,-0.3907348395715247,0.7157133925059277,0.5996431816983822,-21.23779467930068,38.901506955292156
2,CA-DB2,39,1.3305716982918558,0.6640927596945211,1.1192307692307695,1.1634010590898987,,,0.7759111461814053,0.15046278446676475,0.6304234826291006,0.711123509007581,11.308130532155758,47.379895682315926
3,CA-DBB,108,1.3556556018609054,0.9953387700689265,1.1236111111111111,1.0930207292827272,,,0.8633838419650836,-0.15912094839555876,0.41582503651542924,0.39103558380823344,-11.737564332499627,30.673353611686267
4,CA-ER1,108,,,0.9231481481481482,1.1309458849429694,,,1.0,,,,,
5,CA-LP1,78,0.9932758396707294,0.7722033258775151,0.592948717948718,0.7664102678296384,0.7294587096762273,0.7294587096762273,0.42952112251988395,-0.40032712172201124,0.5751473990729677,0.41295608274266843,-40.30372085308342,57.904096334773314
6,PE-QFR,72,,,2.9243055555555557,0.351505119426141,,,1.0,,,,,
7,US-ALQ,117,,,1.3333333333333333,1.7383727031831844,,,1.0,,,,,
8,US-ARM,108,2.2839170883298285,1.4945604604561118,1.6201388888888886,1.2606159409681656,0.710874448271772,0.710874448271772,0.31375849545217693,-0.6637781994409401,1.0394444776588263,0.7999020715577465,-29.063147818835425,45.51148038473437
9,US-Bar,144,,,1.5039930555555556,1.734090174765191,,,1.0,,,,,
10,US-Bi1,144,3.0789388168076686,1.862544783830063,2.565277777777778,1.5423313315516662,0.782959441831577,0.782959441831577,0.5670886052740958,-0.5136610390298908,1.0112626384760401,0.8710938301700083,-16.683054441545195,32.84451879834839
11,US-Bi2,144,2.571019920328262,1.8648696093250756,2.0416666666666665,1.9164497698295457,0.7620413977060484,0.7620413977060484,0.6751856617140198,-0.5293532536615955,1.0884332731529691,0.9510373930316138,-20.589231902723213,42.33468844589895
12,US-BRG,108,,,1.9421296296296295,1.8908926097332408,,,1.0,,,,,
13,US-BZB,144,1.0311153913907845,1.1765899359546637,0.9944444444444444,1.3777085352427796,0.8668403620600447,0.8668403620600447,0.8601943612122221,-0.03667094694633991,0.5133416069258306,0.5120301231873499,-3.5564348328539226,49.78507848994742
