,LCC,"('geeSEBAL', 'PT-JPL')","('geeSEBAL', 'SSEBop')","('geeSEBAL', 'eeMETRIC')","('geeSEBAL', 'DisALEXI')","('PT-JPL', 'SSEBop')","('PT-JPL', 'eeMETRIC')","('PT-JPL', 'DisALEXI')","('SSEBop', 'eeMETRIC')","('SSEBop', 'DisALEXI')","('eeMETRIC', 'DisALEXI')"
0,Annual crops,0.7123449111902145,0.6284131652886927,0.6490985720605613,0.6623611235809608,0.7328911830584107,0.7443571461562982,0.7569971151149322,0.6512561426171664,0.6768447049766545,0.7084191354949588
1,Orchards,0.9178591076001433,0.9514635287810741,0.9646973929216465,0.9271566624522952,0.9319391771968819,0.9606511985727846,0.9097673901376527,0.9502280619971406,0.9283987079854198,0.9530920396712919
2,Vineyards,0.8997603124959433,0.9237885717571622,0.8751205110382656,0.8941384055719347,0.8982745582576299,0.9081503449120983,0.8723492893028534,0.8889593531146991,0.9045311525564295,0.9037801938342926
3,Vegetable crops,,,,,,,,,,
4,Evergreen Forests,0.8563124563810137,0.7481641712075194,0.7595506699673347,0.7411618053813124,0.8832164296548164,0.8983523556705203,0.8727736936692615,0.6856830459228499,0.6613109289462762,0.7052917664474807
5,Grasslands,0.8097572140688655,0.8447882209190761,0.7482342379043762,0.7560471418734164,0.7880670389012843,0.7618505950339491,0.7482664652227764,0.7843765455328927,0.7672046322956072,0.7329942173794105
6,Mixed Forests,0.915638546895036,0.928541302722686,0.9073022892607864,0.9265757358818169,0.907010397275048,0.9257008815623036,0.9257994538643154,0.8897091361391166,0.9386991797125068,0.9760951741064905
7,Shrublands,0.7425730555273399,0.7453525218288447,0.5809792573717134,0.6734822138716272,0.8105066293808254,0.754201157738428,0.7547600912735091,0.6896946154686326,0.7411395594090263,0.6483685414688781
8,Riparian,,,,,,,,,,
9,Wetlands,,,,,,,,,,
