,LCC,"('PT-JPL', 'geeSEBAL')","('PT-JPL', 'SSEBop')","('PT-JPL', 'eeMETRIC')","('PT-JPL', 'DisALEXI')","('geeSEBAL', 'SSEBop')","('geeSEBAL', 'eeMETRIC')","('geeSEBAL', 'DisALEXI')","('SSEBop', 'eeMETRIC')","('SSEBop', 'DisALEXI')","('eeMETRIC', 'DisALEXI')","('SSEBopv61', 'MOD16A2GF')"
0,Annual crops,0.7123449111902146,0.7328911830584103,0.7443571461562979,0.7569971151149321,0.6284131652886925,0.6490985720605611,0.6623611235809606,0.651256142617166,0.6768447049766545,0.7084191354949587,0.6496199979533248
1,Orchards,0.9178591076001431,0.9319391771968819,0.9606511985727851,0.909767390137653,0.9514635287810742,0.964697392921647,0.9271566624522953,0.9502280619971413,0.9283987079854206,0.953092039671292,0.9352713773514155
2,Vineyards,0.8997603124959433,0.8982745582576298,0.9081503449120983,0.872349289302853,0.9237885717571624,0.8751205110382654,0.8941384055719344,0.8889593531146988,0.904531152556429,0.9037801938342923,0.8814097434411268
3,Vegetable crops,,,,,,,,,,,
4,Evergreen Forests,0.8563124563810137,0.8832164296548164,0.8983523556705207,0.8727736936692615,0.7481641712075192,0.7595506699673348,0.741161805381312,0.68568304592285,0.6613109289462761,0.7052917664474808,0.7272134076012015
5,Grasslands,0.8097572140688655,0.788067038901284,0.7618505950339485,0.748266465222776,0.8447882209190753,0.748234237904376,0.7560471418734155,0.7843765455328926,0.7672046322956072,0.73299421737941,0.7254049826851584
6,Mixed Forests,0.9156385468950357,0.9070103972750483,0.9257008815623041,0.925799453864315,0.9285413027226864,0.9073022892607868,0.9265757358818167,0.8897091361391165,0.9386991797125065,0.9760951741064906,0.7719465844423623
7,Shrublands,0.7425730555273397,0.8105066293808256,0.754201157738428,0.7547600912735087,0.7453525218288443,0.5809792573717134,0.6734822138716267,0.6896946154686329,0.7411395594090261,0.6483685414688781,0.5775320110976281
8,Riparian,,,,,,,,,,,
9,Wetlands,,,,,,,,,,,0.9546183766325509
