system:index,Site,rhoX,sigmaX,.geo
0000000000000000001e_0,US-Ha1,0.9768042504537169,0.43233812159108237,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,CA-Cbo,0.9740091028986245,0.38029028573426976,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024_0,US-Ho2,0.9829570672452969,0.278084150140974,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031_0,US-MMS,0.9736597945567035,0.47210590071543396,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058_0,US-Var,0.7641903044664932,0.6186262941434362,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a_0,US-Ne1,0.9441803160825316,0.6481089530143126,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050_0,US-Syv,0.9711549102762648,0.39685185589686484,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051_0,US-Ton,0.6873105683116778,0.7942254071394411,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f_0,US-Me2,0.9146690255901899,0.6138965203031223,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,US-ARM,0.9421371608870456,0.41368397573269533,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d_0,US-Kon,0.9518117562647056,0.5572565587417847,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035_0,US-MOz,0.9768195521980538,0.45141942254937417,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,US-Bar,0.9708359124232319,0.4115255946021131,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d_0,US-Wkg,0.6990908425918206,0.6735485788119221,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,US-GLE,0.8409234179412236,0.6767259887563747,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b_0,US-KFS,0.9636514072231733,0.4294028885120432,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,CA-LP1,0.9210063944673953,0.34540576471366147,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027_0,US-ICs,0.8361469504618906,0.23786500344157407,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b_0,US-Whs,0.4949174175146047,0.5689472898051313,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026_0,US-ICh,0.8494858338575486,0.23127220136467241,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028_0,US-ICt,0.8469446794355576,0.2345103631785924,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_0,US-Seg,0.9188575716813117,0.17421994184114747,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b_0,US-Ses,0.9917399560243205,0.0439859196026831,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056_0,US-UMB,0.9638353616284818,0.43283679418622595,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057_0,US-UMd,0.9714443987595807,0.3817813545749218,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a_0,US-Vcp,0.9558046650378026,0.44928343151646416,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,US-EML,0.9581960287988024,0.26698201790059695,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036_0,US-Mpj,0.7928603088658316,0.5497663789383548,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_0,US-Rpf,0.9540350949630536,0.3829139814543142,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e_0,US-SRG,0.7900043072812881,0.5973665496466977,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_0,US-NC4,0.9754630900103498,0.31698479888590525,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029_0,US-Jo1,0.7981401573102557,0.22767844458986358,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,US-BZS,0.9708836802991436,0.3237416010109229,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030_0,US-Me6,0.7274431060026348,0.607558542951147,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037_0,US-Myb,0.9675847929104804,0.40560241794073,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f_0,US-SRS,0.7577839429463787,0.5398506871086294,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052_0,US-Tw1,0.904249577839034,0.701567855240491,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,US-BZB,0.972987790887045,0.3138588405928546,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,US-BZF,0.9728520247391351,0.3323783013677407,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c_0,US-KLS,0.9653864230598347,0.42305942971377586,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_0,US-NGB,0.5782894113547258,0.10689740559291129,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053_0,US-Tw3,0.9099317114003366,0.5312107833837678,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038_0,US-NC3,0.9776046657105479,0.3540382277795961,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054_0,US-Tw4,0.9077121642888616,0.7328705700541045,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,CA-DBB,0.9803965181191218,0.2165053464762413,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043_0,US-Rms,0.9734467964277821,0.2346995968987641,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_0,US-Ro4,0.9581117016003532,0.48537827640393566,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025_0,US-HWB,0.9682501469603032,0.4369230035136641,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,CA-ER1,0.8875738924099158,0.5161502884986022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d_0,US-ONA,0.9234444743900252,0.3515304445907426,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,US-ALQ,0.9726952126714687,0.41167976834647413,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032_0,US-Mo1,0.9780263875810282,0.37839040912298555,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_0,AR-TF1,0.8958306285436727,0.27292463512964515,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,US-BRG,0.962640603796426,0.5022973391440122,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_0,US-Sne,0.8605543566095477,0.7456363136853512,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,US-Bi1,0.9558894890793919,0.4472305824768887,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034_0,US-Mo3,0.9778539247809719,0.39454140647221847,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c_0,US-NGC,0.9200022497431911,0.23352981218450594,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,US-CF1,0.9573920305669419,0.5151462774936792,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,US-CF2,0.9639564365282535,0.45915240774647853,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_0,US-Ro5,0.965131587563173,0.5336358356422554,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,US-Bi2,0.9607046464045237,0.5238492695979087,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,US-CF3,0.9535614871376823,0.5635763125144881,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,US-CF4,0.9562466087352837,0.5364885510865343,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046_0,US-Ro6,0.9160269031799235,0.736293969006384,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f_0,US-xAE,0.9057683203509098,0.39670208931916673,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063_0,US-xBR,0.9708359124232319,0.4115255946021131,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064_0,US-xCL,0.946425968932435,0.5762778628190587,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066_0,US-xDC,0.9373327313261656,0.47460856987223976,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068_0,US-xDL,0.9385030213866176,0.629015825138244,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069_0,US-xDS,0.9787825251617175,0.22127509109468424,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_0,US-xGR,0.9784628389407638,0.38790295099254385,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b_0,US-xHA,0.9768042504537169,0.43233812159108237,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c_0,US-xHE,0.9573715779738688,0.26201816126725663,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d_0,US-xJE,0.950955583189767,0.46393103908941913,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f_0,US-xKA,0.9439102084732505,0.591587853975785,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_0,US-xKZ,0.9691629149709899,0.4615666717819112,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071_0,US-xMB,0.08054591133870308,0.0696496482762202,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072_0,US-xML,0.9527119565422556,0.5117725313670808,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_0,US-xNG,0.8327553084687408,0.4637679150682739,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_0,US-xRM,0.8804532042586068,0.5357627436866386,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076_0,US-xSB,0.9298115055684407,0.31169314224987765,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078_0,US-xSE,0.9748327293392636,0.45303286368308676,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b_0,US-xSR,0.6877200001800685,0.3841208506863445,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c_0,US-xST,0.9723485634381696,0.4194023811051762,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d_0,US-xTA,0.9612154700372952,0.44950731465851,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_0,US-xTR,0.969991819008092,0.43722343849941775,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f_0,US-xUK,0.9844979593554866,0.3748267284270494,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080_0,US-xUN,0.9690125478640828,0.42711010568310576,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,PE-QFR,0.6742597257076305,0.2762771059963106,"{""type"":""MultiPoint"",""coordinates"":[]}"
