system:index,Site,rhoX,sigmaX,.geo
0000000000000000001e_0,US-Ha1,0.9771473713193017,0.42979346859650114,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,CA-Cbo,0.9729606254987091,0.3882427443533495,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024_0,US-Ho2,0.9814211647098746,0.29715413875081503,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031_0,US-MMS,0.9854436613569275,0.35357035988290003,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058_0,US-Var,0.8873159223564665,0.4491017109654035,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a_0,US-Ne1,0.9412880743493676,0.5939430376868887,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050_0,US-Syv,0.9683227030457385,0.4129175973888934,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051_0,US-Ton,0.8941324861196042,0.4547935103656815,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f_0,US-Me2,0.9466535128872927,0.5368975373374474,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,US-ARM,0.9351879539005056,0.4429225606569137,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d_0,US-Kon,0.9630425375479355,0.5145262960297651,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035_0,US-MOz,0.9816692379648319,0.3820214396225731,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,US-Bar,0.9739149258931562,0.3975286690064516,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,US-GLE,0.8741488237970133,0.6102177225740447,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b_0,US-KFS,0.978878332231511,0.3503077901550476,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,CA-LP1,0.9421161130048168,0.29181906267056473,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027_0,US-ICs,0.8538776204290383,0.22988080059441462,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b_0,US-Whs,0.9820440197372879,0.12942308658810214,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026_0,US-ICh,0.8530513035852925,0.2235058727539027,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028_0,US-ICt,0.8573169258584291,0.22682568590213187,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_0,US-Seg,0.9896641241714617,0.06523386805136218,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056_0,US-UMB,0.9805286382902751,0.3189840611575647,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057_0,US-UMd,0.9804966828628394,0.3122192326008823,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059_0,US-Vcm,0.895825011685804,0.486113246615074,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a_0,US-Vcp,0.9770448512018012,0.3133592645457267,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c_0,US-Wjs,0.930427299678226,0.2260750135075567,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,US-EML,0.9511818885548899,0.31991460880242867,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036_0,US-Mpj,0.9801077480558718,0.16579544692476617,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_0,US-Rpf,0.9663442622805932,0.32719189592875947,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_0,US-NC4,0.9852126397276256,0.24311467156129668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029_0,US-Jo1,0.9765977556075018,0.07941157516038568,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,US-BZS,0.984734273948427,0.23143885079763285,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030_0,US-Me6,0.8739579537445674,0.4170169777432031,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037_0,US-Myb,0.9674348821248118,0.41535359125827515,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f_0,US-SRS,0.9706069523898451,0.20840113208690936,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052_0,US-Tw1,0.9093580906330859,0.6754671675553493,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,US-BZB,0.9832665406826412,0.24377095460433254,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,US-BZF,0.9928487506804632,0.16864929292393563,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c_0,US-KLS,0.9649845704244763,0.4314683686446801,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_0,US-NGB,0.49360217505666204,0.11602238441410596,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053_0,US-Tw3,0.9093580906330859,0.6754671675553493,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038_0,US-NC3,0.978393217814533,0.3406143610238178,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054_0,US-Tw4,0.9307222708002175,0.612614038429645,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,CA-DBB,0.9844311538826693,0.1852940920420741,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043_0,US-Rms,0.9236766301564667,0.5990367472021642,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048_0,US-Rwf,0.8943520469033981,0.34223270759574703,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049_0,US-Rws,0.8314009201943309,0.27542059012695574,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042_0,US-Rls,0.9206596414570195,0.3368311254097188,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_0,US-Ro4,0.9450559956464448,0.5627989380373549,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0,US-Hn2,0.9892448992855083,0.15172699919585803,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025_0,US-HWB,0.9621324556170577,0.34758297307168756,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,CA-ER1,0.9168233934958779,0.41539211869200604,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d_0,US-ONA,0.9054280226663655,0.3883021135515176,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,US-ALQ,0.9717882615272788,0.4183493001692922,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032_0,US-Mo1,0.9768453113158827,0.3904123890612731,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_0,AR-TF1,0.8996505644833318,0.26165928338826855,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,US-BRG,0.9752010510698977,0.41255339410440195,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_0,US-Sne,0.9939501150723147,0.13008535741755364,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,US-Bi1,0.974524444428319,0.35992275104636356,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034_0,US-Mo3,0.9740974130577085,0.4184192913519118,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e_0,US-Pnp,0.9761818019873952,0.29811368280261136,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065_0,US-xCP,0.9092920146601736,0.24356557254290975,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023_0,US-Hn3,0.9892448992855083,0.15172699919585803,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c_0,US-NGC,0.9143058892536244,0.23663036646039512,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,US-CF1,0.9232399512176227,0.6972802270785751,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,US-CF2,0.9134708107811961,0.724733643984081,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_0,US-Ro5,0.9731144343846795,0.4127228911305328,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,US-Bi2,0.9599405761228981,0.5595324438426388,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,US-CF3,0.9233994143422507,0.7030068483235674,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,US-CF4,0.9233994143422507,0.7030068483235674,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046_0,US-Ro6,0.9386759018929681,0.630692691606804,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f_0,US-xAE,0.9230122927008328,0.37337813332586517,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063_0,US-xBR,0.9739149258931562,0.3975286690064516,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064_0,US-xCL,0.96100898000938,0.4461627029653639,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066_0,US-xDC,0.9017883954115365,0.5795529424252563,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068_0,US-xDL,0.9858608100611113,0.292146617484773,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069_0,US-xDS,0.9514788185248673,0.2614563312925207,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_0,US-xGR,0.9928323144362227,0.21527223037674112,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b_0,US-xHA,0.9771473713193017,0.42979346859650114,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c_0,US-xHE,0.940969673689409,0.30579874793072825,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d_0,US-xJE,0.9651023411908305,0.38513477156655224,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f_0,US-xKA,0.963677714379825,0.5014088535832605,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_0,US-xKZ,0.9610529788049884,0.5265409567605973,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071_0,US-xMB,0.21279023967685154,0.0652980695326523,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072_0,US-xML,0.9559894576449781,0.4790545405448841,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_0,US-xNG,0.7968524535931447,0.5646030667064336,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074_0,US-xNQ,0.7422179475034635,0.12744397454186385,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_0,US-xRM,0.947491687907128,0.359174776422969,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076_0,US-xSB,0.9059320603013323,0.341508320640674,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078_0,US-xSE,0.9873058499279949,0.3048413155252029,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b_0,US-xSR,0.902855278909316,0.24214461707517593,"{""type"":""MultiPoint"",""coordinates"":[]}"
